Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,nt/nc,Sample Size,πc,Prop. Treatment (Alt.),δ1
4,Des4,Superiority,1,1-Sided Exact,0.005,0.00498744972533936,0.51084772946874,1,1186,0.1,0.15,0.05
5,Des5,Superiority,1,1-Sided Exact,0.005,0.00499403073137668,0.510283126625975,1,2392,0.3,0.35,0.05
6,Des6,Superiority,1,1-Sided Exact,0.005,0.00499479672665445,0.510090202482594,1,2726,0.5,0.55,0.05
7,Des7,Superiority,1,1-Sided Exact,0.005,0.00499467592583298,0.510585489528732,1,1572,0.8,0.85,0.05
8,Des8,Superiority,1,1-Sided Exact,0.005,0.00497165958621643,0.510490037870261,1,750,0.9,0.95,0.05
9,Des9,Superiority,1,1-Sided Exact,0.025,0.0249677116851143,0.512445346011385,1,700,0.1,0.15,0.05
10,Des10,Superiority,1,1-Sided Exact,0.025,0.0248229526395499,0.510267000399538,1,1406,0.3,0.35,0.05
11,Des11,Superiority,1,1-Sided Exact,0.025,0.0245070598591182,0.510162758881895,1,1600,0.5,0.55,0.05
12,Des12,Superiority,1,1-Sided Exact,0.025,0.0241196027288232,0.510598660762378,1,934,0.8,0.85,0.05
13,Des13,Superiority,1,1-Sided Exact,0.025,0.0249167418776729,0.521859171194891,1,448,0.9,0.95,0.05
14,Des14,Superiority,1,1-Sided Exact,0.05,0.0499523059193569,0.510863117475235,1,506,0.1,0.15,0.05
15,Des15,Superiority,1,1-Sided Exact,0.05,0.048194704018711,0.510645164636752,1,1012,0.3,0.35,0.05
16,Des16,Superiority,1,1-Sided Exact,0.05,0.048299667424131,0.510770476396704,1,1158,0.5,0.55,0.05
17,Des17,Superiority,1,1-Sided Exact,0.05,0.0480471793714101,0.510353487051322,1,668,0.8,0.85,0.05
18,Des18,Superiority,1,1-Sided Exact,0.05,0.0496674912645396,0.510448230530321,1,316,0.9,0.95,0.05
19,Des19,Superiority,1,1-Sided Exact,0.1,0.0829180616229035,0.511788123948529,1,364,0.1,0.15,0.05
20,Des20,Superiority,1,1-Sided Exact,0.1,0.0839026061172795,0.510266274902525,1,720,0.3,0.35,0.05
21,Des21,Superiority,1,1-Sided Exact,0.1,0.0842372305621718,0.510168649811364,1,794,0.5,0.55,0.05
22,Des22,Superiority,1,1-Sided Exact,0.1,0.0834039231484292,0.511131315351855,1,482,0.8,0.85,0.05
23,Des23,Superiority,1,1-Sided Exact,0.1,0.0864669270039532,0.510161456669947,1,222,0.9,0.95,0.05
24,Des24,Superiority,1,1-Sided Exact,0.245,0.186813629641755,0.512050727518772,1,184,0.1,0.15,0.05
25,Des25,Superiority,1,1-Sided Exact,0.245,0.188290030333289,0.510820109883221,1,382,0.3,0.35,0.05
26,Des26,Superiority,1,1-Sided Exact,0.245,0.188147590123417,0.509960675429264,1,430,0.5,0.55,0.05
27,Des27,Superiority,1,1-Sided Exact,0.245,0.187497482212929,0.510225141263949,1,244,0.8,0.85,0.05
28,Des28,Superiority,1,1-Sided Exact,0.245,0.18451149382641,0.511447585428047,1,102,0.9,0.95,0.05
29,Des29,Superiority,1,1-Sided Exact,0.005,0.00499762085395399,0.800137611456141,1,2040,0.1,0.15,0.05
30,Des30,Superiority,1,1-Sided Exact,0.005,0.00499821425943196,0.800104064298539,1,4122,0.3,0.35,0.05
31,Des31,Superiority,1,1-Sided Exact,0.005,0.00499696145004242,0.800051477991518,1,4690,0.5,0.55,0.05
32,Des32,Superiority,1,1-Sided Exact,0.005,0.00499946836431379,0.800385985325942,1,2704,0.8,0.85,0.05
33,Des33,Superiority,1,1-Sided Exact,0.005,0.00499181047737918,0.800623118517081,1,1280,0.9,0.95,0.05
34,Des34,Superiority,1,1-Sided Exact,0.025,0.0247642418639386,0.800152862270518,1,1382,0.1,0.15,0.05
35,Des35,Superiority,1,1-Sided Exact,0.025,0.0249902210735998,0.800189844930227,1,2778,0.3,0.35,0.05
36,Des36,Superiority,1,1-Sided Exact,0.025,0.0249575356399817,0.79991227221768,1,3164,0.5,0.55,0.05
37,Des37,Superiority,1,1-Sided Exact,0.025,0.0247909826579099,0.800465281692837,1,1828,0.8,0.85,0.05
38,Des38,Superiority,1,1-Sided Exact,0.025,0.0249843446040122,0.800409698298675,1,864,0.9,0.95,0.05
39,Des39,Superiority,1,1-Sided Exact,0.05,0.0485218586474429,0.800473423329652,1,1098,0.1,0.15,0.05
40,Des40,Superiority,1,1-Sided Exact,0.05,0.0486492493850559,0.800136128904923,1,2206,0.3,0.35,0.05
41,Des41,Superiority,1,1-Sided Exact,0.05,0.0487706217620723,0.800161159333247,1,2500,0.5,0.55,0.05
42,Des42,Superiority,1,1-Sided Exact,0.05,0.0489998287481297,0.799517203713433,1,1450,0.8,0.85,0.05
43,Des43,Superiority,1,1-Sided Exact,0.05,0.0491693331467853,0.800182600911647,1,690,0.9,0.95,0.05
44,Des44,Superiority,1,1-Sided Exact,0.1,0.0838574861659987,0.799982757959437,1,886,0.1,0.15,0.05
45,Des45,Superiority,1,1-Sided Exact,0.1,0.093699494823976,0.80025778643911,1,1666,0.3,0.35,0.05
46,Des46,Superiority,1,1-Sided Exact,0.1,0.0966032477829589,0.800365451507711,1,1916,0.5,0.55,0.05
47,Des47,Superiority,1,1-Sided Exact,0.1,0.0843377798255944,0.800506057516872,1,1174,0.8,0.85,0.05
48,Des48,Superiority,1,1-Sided Exact,0.1,0.0836480032999652,0.800897617953567,1,554,0.9,0.95,0.05
49,Des49,Superiority,1,1-Sided Exact,0.245,0.18873514577898,0.800409221316842,1,588,0.1,0.15,0.05
50,Des50,Superiority,1,1-Sided Exact,0.245,0.188069087447973,0.799995246912399,1,1202,0.3,0.35,0.05
51,Des51,Superiority,1,1-Sided Exact,0.245,0.185995533634849,0.80033871144599,1,1360,0.5,0.55,0.05
52,Des52,Superiority,1,1-Sided Exact,0.245,0.188823641439746,0.800263168969308,1,778,0.8,0.85,0.05
53,Des53,Superiority,1,1-Sided Exact,0.245,0.188140931131492,0.801123041030889,1,372,0.9,0.95,0.05
54,Des54,Superiority,1,1-Sided Exact,0.005,0.00499603520764733,0.90013354013213,1,2602,0.1,0.15,0.05
55,Des55,Superiority,1,1-Sided Exact,0.005,0.00499516083588936,0.89979421041711,1,3432,0.8,0.85,0.05
56,Des56,Superiority,1,1-Sided Exact,0.005,0.00499827007218448,0.900293959719637,1,1622,0.9,0.95,0.05
57,Des57,Superiority,1,1-Sided Exact,0.025,0.0247215359587576,0.899749985942947,1,1838,0.1,0.15,0.05
58,Des58,Superiority,1,1-Sided Exact,0.025,0.0249954132928063,0.900025775352,1,3712,0.3,0.35,0.05
59,Des59,Superiority,1,1-Sided Exact,0.025,0.0249569524596161,0.899955892618799,1,4196,0.5,0.55,0.05
60,Des60,Superiority,1,1-Sided Exact,0.025,0.0247513852360776,0.900236827572632,1,2434,0.8,0.85,0.05
61,Des61,Superiority,1,1-Sided Exact,0.025,0.0244594597040213,0.900194277028875,1,1158,0.9,0.95,0.05
62,Des62,Superiority,1,1-Sided Exact,0.05,0.0482747625825507,0.900316370682875,1,1512,0.1,0.15,0.05
63,Des63,Superiority,1,1-Sided Exact,0.05,0.0489637896954009,0.900000836968314,1,3056,0.3,0.35,0.05
64,Des64,Superiority,1,1-Sided Exact,0.05,0.0490445588842843,0.900147144346738,1,3492,0.5,0.55,0.05
65,Des65,Superiority,1,1-Sided Exact,0.05,0.0484722022234748,0.900078340883837,1,2002,0.8,0.85,0.05
66,Des66,Superiority,1,1-Sided Exact,0.05,0.048970956679792,0.90034869233976,1,950,0.9,0.95,0.05
67,Des67,Superiority,1,1-Sided Exact,0.1,0.0846362004306529,0.900177232297958,1,1260,0.1,0.15,0.05
68,Des68,Superiority,1,1-Sided Exact,0.1,0.0838767906465289,0.900052641576131,1,2550,0.3,0.35,0.05
69,Des69,Superiority,1,1-Sided Exact,0.1,0.0849807602473467,0.900022134499345,1,2870,0.5,0.55,0.05
70,Des70,Superiority,1,1-Sided Exact,0.1,0.0936901513765226,0.900174464558763,1,1584,0.8,0.85,0.05
71,Des71,Superiority,1,1-Sided Exact,0.1,0.08422321578584,0.900321497145627,1,788,0.9,0.95,0.05
72,Des72,Superiority,1,1-Sided Exact,0.245,0.188031468850999,0.900280723264967,1,900,0.1,0.15,0.05
73,Des73,Superiority,1,1-Sided Exact,0.245,0.189217456968696,0.900178485321934,1,1828,0.3,0.35,0.05
74,Des74,Superiority,1,1-Sided Exact,0.245,0.187882188059197,0.900163538146766,1,2062,0.5,0.55,0.05
75,Des75,Superiority,1,1-Sided Exact,0.245,0.188113754488755,0.900149201024954,1,1198,0.8,0.85,0.05
76,Des76,Superiority,1,1-Sided Exact,0.245,0.188755423949381,0.900307554446423,1,560,0.9,0.95,0.05
77,Des77,Superiority,1,1-Sided Exact,0.005,0.00499846866380468,0.989991201722783,1,4176,0.1,0.15,0.05
