Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,πc,Prop. Treatment (Alt.),δ1,Variance
1,Des1,Superiority,1,1-Sided,0.005,0.511337840528465,1,174,0.1,0.25,0.15,Pooled Estimate
2,Des2,Superiority,1,1-Sided,0.005,0.510380451081833,1,282,0.3,0.45,0.15,Pooled Estimate
3,Des3,Superiority,1,1-Sided,0.005,0.510318113567758,1,294,0.5,0.65,0.15,Pooled Estimate
4,Des4,Superiority,1,1-Sided,0.005,0.512147036500271,1,132,0.8,0.95,0.15,Pooled Estimate
5,Des5,Superiority,1,1-Sided,0.025,0.513643112691973,1,102,0.1,0.25,0.15,Pooled Estimate
6,Des6,Superiority,1,1-Sided,0.025,0.512117058916964,1,165,0.3,0.45,0.15,Pooled Estimate
7,Des7,Superiority,1,1-Sided,0.025,0.512017634655419,1,172,0.5,0.65,0.15,Pooled Estimate
8,Des8,Superiority,1,1-Sided,0.025,0.512290942234475,1,77,0.8,0.95,0.15,Pooled Estimate
9,Des9,Superiority,1,1-Sided,0.05,0.512213854797875,1,72,0.1,0.25,0.15,Pooled Estimate
10,Des10,Superiority,1,1-Sided,0.05,0.512457835942376,1,117,0.3,0.45,0.15,Pooled Estimate
11,Des11,Superiority,1,1-Sided,0.05,0.512473740235849,1,122,0.5,0.65,0.15,Pooled Estimate
12,Des12,Superiority,1,1-Sided,0.05,0.515144757042893,1,55,0.8,0.95,0.15,Pooled Estimate
13,Des13,Superiority,1,1-Sided,0.1,0.511293665370492,1,44,0.1,0.25,0.15,Pooled Estimate
14,Des14,Superiority,1,1-Sided,0.1,0.513316466671237,1,72,0.3,0.45,0.15,Pooled Estimate
15,Des15,Superiority,1,1-Sided,0.1,0.513055425330933,1,75,0.5,0.65,0.15,Pooled Estimate
16,Des16,Superiority,1,1-Sided,0.1,0.516700838506474,1,34,0.8,0.95,0.15,Pooled Estimate
17,Des17,Superiority,1,1-Sided,0.245,0.519623330674427,1,14,0.1,0.25,0.15,Pooled Estimate
18,Des18,Superiority,1,1-Sided,0.245,0.514666279237625,1,22,0.3,0.45,0.15,Pooled Estimate
19,Des19,Superiority,1,1-Sided,0.245,0.515050462473527,1,23,0.5,0.65,0.15,Pooled Estimate
20,Des20,Superiority,1,1-Sided,0.245,0.510987881145636,1,10,0.8,0.95,0.15,Pooled Estimate
21,Des21,Superiority,1,1-Sided,0.005,0.800224908823394,1,297,0.1,0.25,0.15,Pooled Estimate
22,Des22,Superiority,1,1-Sided,0.005,0.80026502543831,1,484,0.3,0.45,0.15,Pooled Estimate
23,Des23,Superiority,1,1-Sided,0.005,0.800480255740732,1,505,0.5,0.65,0.15,Pooled Estimate
24,Des24,Superiority,1,1-Sided,0.005,0.801765138336921,1,225,0.8,0.95,0.15,Pooled Estimate
25,Des25,Superiority,1,1-Sided,0.025,0.801829935854773,1,200,0.1,0.25,0.15,Pooled Estimate
26,Des26,Superiority,1,1-Sided,0.025,0.800403173731987,1,325,0.3,0.45,0.15,Pooled Estimate
27,Des27,Superiority,1,1-Sided,0.025,0.800440077447188,1,339,0.5,0.65,0.15,Pooled Estimate
28,Des28,Superiority,1,1-Sided,0.025,0.802018990592198,1,151,0.8,0.95,0.15,Pooled Estimate
29,Des29,Superiority,1,1-Sided,0.05,0.80094579935149,1,157,0.1,0.25,0.15,Pooled Estimate
