Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,Sample Size,π0,π1
1,Des1,Superiority,1,1-Sided Exact,0.005,0.00408553282175803,0.511966964117048,292,0.1,0.15
2,Des2,Superiority,1,1-Sided Exact,0.005,0.00276202492819361,0.52322769197859,43,0.1,0.25
3,Des3,Superiority,1,1-Sided Exact,0.005,0.0016964303724239,0.51883416654639,19,0.1,0.35
4,Des4,Superiority,1,1-Sided Exact,0.005,0.00127,0.52359116881,6,0.1,0.59
5,Des5,Superiority,1,1-Sided Exact,0.025,0.0177226933448166,0.51090814090648,185,0.1,0.15
6,Des6,Superiority,1,1-Sided Exact,0.025,0.00958793618032027,0.527268955431187,31,0.1,0.25
7,Des7,Superiority,1,1-Sided Exact,0.025,0.00923021245585003,0.577277011061055,14,0.1,0.35
8,Des8,Superiority,1,1-Sided Exact,0.025,0.00856,0.6651404294,5,0.1,0.59
9,Des9,Superiority,1,1-Sided Exact,0.05,0.0395898058289027,0.51776248251523,132,0.1,0.15
10,Des10,Superiority,1,1-Sided Exact,0.05,0.0226077500875893,0.531530514090464,23,0.1,0.25
11,Des11,Superiority,1,1-Sided Exact,0.05,0.0185347612,0.57444985238457,11,0.1,0.35
12,Des12,Superiority,1,1-Sided Exact,0.05,0.00856,0.6651404294,5,0.1,0.59
13,Des13,Superiority,1,1-Sided Exact,0.1,0.0676705995418172,0.526112150321625,99,0.1,0.15
14,Des14,Superiority,1,1-Sided Exact,0.1,0.0555556300075362,0.53871312364936,15,0.1,0.25
15,Des15,Superiority,1,1-Sided Exact,0.1,0.03809179,0.572186342929688,8,0.1,0.35
16,Des16,Superiority,1,1-Sided Exact,0.1,0.028,0.633542,3,0.1,0.59
17,Des17,Superiority,1,1-Sided Exact,0.245,0.174747640883619,0.514583023412806,38,0.1,0.15
18,Des18,Superiority,1,1-Sided Exact,0.245,0.0895618508500001,0.544799089431763,11,0.1,0.25
19,Des19,Superiority,1,1-Sided Exact,0.245,0.08146,0.571585,5,0.1,0.35
20,Des20,Superiority,1,1-Sided Exact,0.005,0.00417724627598551,0.801330687701846,509,0.1,0.15
21,Des21,Superiority,1,1-Sided Exact,0.005,0.00271389507744577,0.805407509562943,75,0.1,0.25
22,Des22,Superiority,1,1-Sided Exact,0.005,0.00259620802852462,0.810629108004536,31,0.1,0.35
23,Des23,Superiority,1,1-Sided Exact,0.005,0.00163493740000001,0.816554779711093,10,0.1,0.59
24,Des24,Superiority,1,1-Sided Exact,0.025,0.0216031398955806,0.802658793952586,348,0.1,0.15
25,Des25,Superiority,1,1-Sided Exact,0.025,0.0144667825713686,0.806741267846284,53,0.1,0.25
26,Des26,Superiority,1,1-Sided Exact,0.025,0.00947636069150664,0.826597304209382,25,0.1,0.35
27,Des27,Superiority,1,1-Sided Exact,0.025,0.01585,0.80668968999,6,0.1,0.59
28,Des28,Superiority,1,1-Sided Exact,0.05,0.046595644694692,0.801471829337956,270,0.1,0.15
29,Des29,Superiority,1,1-Sided Exact,0.05,0.0280012544084081,0.805980769579565,44,0.1,0.25
30,Des30,Superiority,1,1-Sided Exact,0.05,0.0281938565132567,0.81138040960661,18,0.1,0.35
31,Des31,Superiority,1,1-Sided Exact,0.05,0.01585,0.80668968999,6,0.1,0.59
32,Des32,Superiority,1,1-Sided Exact,0.1,0.0821813172717677,0.801791805042164,213,0.1,0.15
33,Des33,Superiority,1,1-Sided Exact,0.1,0.0551828498796156,0.808021927779608,35,0.1,0.25
34,Des34,Superiority,1,1-Sided Exact,0.1,0.0555556300075362,0.827303512830517,15,0.1,0.35
35,Des35,Superiority,1,1-Sided Exact,0.1,0.0523,0.80908883,4,0.1,0.59
36,Des36,Superiority,1,1-Sided Exact,0.245,0.200030762127755,0.809537755082972,127,0.1,0.15
37,Des37,Superiority,1,1-Sided Exact,0.245,0.151965310571954,0.808317856135542,21,0.1,0.25
38,Des38,Superiority,1,1-Sided Exact,0.245,0.110869977745,0.848712421664734,12,0.1,0.35
39,Des39,Superiority,1,1-Sided Exact,0.245,0.0523,0.80908883,4,0.1,0.59
40,Des40,Superiority,1,1-Sided Exact,0.005,0.00418300810069666,0.902324352943032,655,0.1,0.15
41,Des41,Superiority,1,1-Sided Exact,0.005,0.00365842783605671,0.900759413798219,91,0.1,0.25
42,Des42,Superiority,1,1-Sided Exact,0.005,0.00225677793530627,0.915645260736374,42,0.1,0.35
43,Des43,Superiority,1,1-Sided Exact,0.005,0.00432934327000002,0.933817449250681,12,0.1,0.59
44,Des44,Superiority,1,1-Sided Exact,0.025,0.0204287481054321,0.903149800449388,477,0.1,0.15
45,Des45,Superiority,1,1-Sided Exact,0.025,0.0126357783980945,0.903509148449833,73,0.1,0.25
46,Des46,Superiority,1,1-Sided Exact,0.025,0.0116854546258589,0.918208722627105,32,0.1,0.35
47,Des47,Superiority,1,1-Sided Exact,0.025,0.0127951984,0.937428108250332,10,0.1,0.59
48,Des48,Superiority,1,1-Sided Exact,0.05,0.0417973191172793,0.901134561381111,390,0.1,0.15
49,Des49,Superiority,1,1-Sided Exact,0.05,0.0444167143284062,0.911187366815928,55,0.1,0.25
50,Des50,Superiority,1,1-Sided Exact,0.05,0.0333999446114955,0.91737530280261,25,0.1,0.35
51,Des51,Superiority,1,1-Sided Exact,0.05,0.0127951984,0.937428108250332,10,0.1,0.59
52,Des52,Superiority,1,1-Sided Exact,0.1,0.0810759642700443,0.900716757509116,310,0.1,0.15
53,Des53,Superiority,1,1-Sided Exact,0.1,0.0578672057180948,0.908402741168999,50,0.1,0.25
54,Des54,Superiority,1,1-Sided Exact,0.1,0.0981968414254373,0.921732508255886,18,0.1,0.35
55,Des55,Superiority,1,1-Sided Exact,0.1,0.03809179,0.943710789733726,8,0.1,0.59
56,Des56,Superiority,1,1-Sided Exact,0.245,0.201702352009685,0.904075940825051,200,0.1,0.15
57,Des57,Superiority,1,1-Sided Exact,0.245,0.175494879033896,0.902130400435349,30,0.1,0.25
58,Des58,Superiority,1,1-Sided Exact,0.245,0.15835998128662,0.916073426273876,14,0.1,0.35
59,Des59,Superiority,1,1-Sided Exact,0.245,0.08146,0.9050544304,5,0.1,0.59
60,Des60,Superiority,1,1-Sided Exact,0.005,0.00446677270481512,0.990071782035296,1053,0.1,0.15
61,Des61,Superiority,1,1-Sided Exact,0.005,0.00310665532049413,0.990630056924459,155,0.1,0.25
62,Des62,Superiority,1,1-Sided Exact,0.005,0.00221290459666738,0.991043757573933,67,0.1,0.35
63,Des63,Superiority,1,1-Sided Exact,0.005,0.00238608940896612,0.991632033756098,20,0.1,0.59
64,Des64,Superiority,1,1-Sided Exact,0.025,0.0224787309929926,0.99031496715014,819,0.1,0.15
65,Des65,Superiority,1,1-Sided Exact,0.025,0.0216182937116778,0.990431875169126,116,0.1,0.25
66,Des66,Superiority,1,1-Sided Exact,0.025,0.0144667825713686,0.992005635576179,53,0.1,0.35
67,Des67,Superiority,1,1-Sided Exact,0.025,0.0170039982778796,0.993786201288988,16,0.1,0.59
68,Des68,Superiority,1,1-Sided Exact,0.05,0.0445745460901885,0.990007836183277,707,0.1,0.15
69,Des69,Superiority,1,1-Sided Exact,0.05,0.0342856590925828,0.990329975258393,106,0.1,0.25
70,Des70,Superiority,1,1-Sided Exact,0.05,0.0319940218418632,0.990898818110728,45,0.1,0.35
71,Des71,Superiority,1,1-Sided Exact,0.05,0.0170039982778796,0.993786201288988,16,0.1,0.59
72,Des72,Superiority,1,1-Sided Exact,0.1,0.0881198475422799,0.990097478682049,595,0.1,0.15
73,Des73,Superiority,1,1-Sided Exact,0.1,0.0858162580924965,0.99063097631724,86,0.1,0.25
74,Des74,Superiority,1,1-Sided Exact,0.1,0.0710850582717578,0.990026898163346,37,0.1,0.35
75,Des75,Superiority,1,1-Sided Exact,0.1,0.0341607209230001,0.990439190107163,13,0.1,0.59
76,Des76,Superiority,1,1-Sided Exact,0.245,0.221667709823248,0.990241560461512,428,0.1,0.15
77,Des77,Superiority,1,1-Sided Exact,0.245,0.198722696795465,0.990576624912366,65,0.1,0.25
78,Des78,Superiority,1,1-Sided Exact,0.245,0.175494879033896,0.992482285413191,30,0.1,0.35
79,Des79,Superiority,1,1-Sided Exact,0.245,0.0895618508500001,0.99280594568266,11,0.1,0.59
