Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,Sample Size,π0,π1
1,Des1,Superiority,1,1-Sided Exact,0.005,0.00422370888884915,0.510148450799377,611,0.3,0.35
2,Des2,Superiority,1,1-Sided Exact,0.005,0.0043117754484891,0.531215745018235,73,0.3,0.45
3,Des3,Superiority,1,1-Sided Exact,0.005,0.00339838743865168,0.580778289336942,31,0.3,0.55
4,Des4,Superiority,1,1-Sided Exact,0.005,0.004290894,0.711466420119219,9,0.3,0.79
5,Des5,Superiority,1,1-Sided Exact,0.025,0.0237214194787263,0.513386824677228,351,0.3,0.35
6,Des6,Superiority,1,1-Sided Exact,0.025,0.01611940049867,0.548467419141857,51,0.3,0.45
7,Des7,Superiority,1,1-Sided Exact,0.025,0.0209679881218704,0.577849096339758,18,0.3,0.55
8,Des8,Superiority,1,1-Sided Exact,0.025,0.010935,0.630796561795,6,0.3,0.79
9,Des9,Superiority,1,1-Sided Exact,0.05,0.0418270294301813,0.512764414446959,268,0.3,0.35
10,Des10,Superiority,1,1-Sided Exact,0.05,0.0358822201454859,0.531497547472894,35,0.3,0.45
11,Des11,Superiority,1,1-Sided Exact,0.05,0.038600843058,0.526930239758716,12,0.3,0.55
12,Des12,Superiority,1,1-Sided Exact,0.05,0.03078,0.7166814904,5,0.3,0.79
13,Des13,Superiority,1,1-Sided Exact,0.1,0.0884124797850262,0.513006842655594,165,0.3,0.35
14,Des14,Superiority,1,1-Sided Exact,0.1,0.0742364650803343,0.546085343423447,24,0.3,0.45
15,Des15,Superiority,1,1-Sided Exact,0.1,0.0782247909599999,0.633122580828848,11,0.3,0.55
16,Des16,Superiority,1,1-Sided Exact,0.1,0.0836999999999999,0.80365357,4,0.3,0.79
17,Des17,Superiority,1,1-Sided Exact,0.245,0.197598363177897,0.538040609900336,77,0.3,0.35
18,Des18,Superiority,1,1-Sided Exact,0.245,0.1653974763444,0.573193967535981,13,0.3,0.45
19,Des19,Superiority,1,1-Sided Exact,0.245,0.126036,0.608287796875,7,0.3,0.55
20,Des20,Superiority,1,1-Sided Exact,0.245,0.09,0.6241,2,0.3,0.79
