Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,Sample Size,π0,π1,Variance
1,Des1,Superiority,1,1-Sided,0.005,0.510460866643341,677,0.5,0.55,Under Null Hypothesis
2,Des2,Superiority,1,1-Sided,0.005,0.51651858638274,76,0.5,0.65,Under Null Hypothesis
3,Des3,Superiority,1,1-Sided,0.005,0.51024710597742,27,0.5,0.75,Under Null Hypothesis
4,Des4,Superiority,1,1-Sided,0.005,0.534053453070903,7,0.5,0.99,Under Null Hypothesis
5,Des5,Superiority,1,1-Sided,0.025,0.510014465653234,394,0.5,0.55,Under Null Hypothesis
6,Des6,Superiority,1,1-Sided,0.025,0.512548637923765,44,0.5,0.65,Under Null Hypothesis
7,Des7,Superiority,1,1-Sided,0.025,0.518436377730576,16,0.5,0.75,Under Null Hypothesis
8,Des8,Superiority,1,1-Sided,0.025,0.877532795848526,5,0.5,0.99,Under Null Hypothesis
9,Des9,Superiority,1,1-Sided,0.05,0.510213411396788,279,0.5,0.55,Under Null Hypothesis
10,Des10,Superiority,1,1-Sided,0.05,0.510652794656427,31,0.5,0.65,Under Null Hypothesis
11,Des11,Superiority,1,1-Sided,0.05,0.540100387692538,12,0.5,0.75,Under Null Hypothesis
12,Des12,Superiority,1,1-Sided,0.05,0.604150363539756,3,0.5,0.99,Under Null Hypothesis
13,Des13,Superiority,1,1-Sided,0.1,0.510470910851762,171,0.5,0.55,Under Null Hypothesis
14,Des14,Superiority,1,1-Sided,0.1,0.510921366439423,19,0.5,0.65,Under Null Hypothesis
15,Des15,Superiority,1,1-Sided,0.1,0.519029086760095,7,0.5,0.75,Under Null Hypothesis
16,Des16,Superiority,1,1-Sided,0.1,0.700040780309706,2,0.5,0.99,Under Null Hypothesis
17,Des17,Superiority,1,1-Sided,0.245,0.512347925555311,52,0.5,0.55,Under Null Hypothesis
18,Des18,Superiority,1,1-Sided,0.245,0.518619297265325,6,0.5,0.65,Under Null Hypothesis
19,Des19,Superiority,1,1-Sided,0.245,0.580393414281853,3,0.5,0.75,Under Null Hypothesis
20,Des20,Superiority,1,1-Sided,0.005,0.800405590596275,1166,0.5,0.55,Under Null Hypothesis
21,Des21,Superiority,1,1-Sided,0.005,0.800628480464351,127,0.5,0.65,Under Null Hypothesis
22,Des22,Superiority,1,1-Sided,0.005,0.803834281913482,44,0.5,0.75,Under Null Hypothesis
23,Des23,Superiority,1,1-Sided,0.005,0.83770863450197,8,0.5,0.99,Under Null Hypothesis
24,Des24,Superiority,1,1-Sided,0.025,0.800238286453445,783,0.5,0.55,Under Null Hypothesis
25,Des25,Superiority,1,1-Sided,0.025,0.800892112783929,85,0.5,0.65,Under Null Hypothesis
26,Des26,Superiority,1,1-Sided,0.025,0.801211042746646,29,0.5,0.75,Under Null Hypothesis
27,Des27,Superiority,1,1-Sided,0.025,0.877532795848526,5,0.5,0.99,Under Null Hypothesis
28,Des28,Superiority,1,1-Sided,0.05,0.800475822094129,617,0.5,0.55,Under Null Hypothesis
29,Des29,Superiority,1,1-Sided,0.05,0.802309446410125,67,0.5,0.65,Under Null Hypothesis
30,Des30,Superiority,1,1-Sided,0.05,0.807729889469623,23,0.5,0.75,Under Null Hypothesis
31,Des31,Superiority,1,1-Sided,0.05,0.943365594713942,4,0.5,0.99,Under Null Hypothesis
32,Des32,Superiority,1,1-Sided,0.1,0.800002220007914,449,0.5,0.55,Under Null Hypothesis
33,Des33,Superiority,1,1-Sided,0.1,0.804544680067828,49,0.5,0.65,Under Null Hypothesis
34,Des34,Superiority,1,1-Sided,0.1,0.81611752887624,17,0.5,0.75,Under Null Hypothesis
35,Des35,Superiority,1,1-Sided,0.1,0.981680597058958,3,0.5,0.99,Under Null Hypothesis
36,Des36,Superiority,1,1-Sided,0.245,0.800560716795223,234,0.5,0.55,Under Null Hypothesis
37,Des37,Superiority,1,1-Sided,0.245,0.80200008244051,25,0.5,0.65,Under Null Hypothesis
38,Des38,Superiority,1,1-Sided,0.245,0.825093181801089,9,0.5,0.75,Under Null Hypothesis
39,Des39,Superiority,1,1-Sided,0.005,0.900002978450808,1483,0.5,0.55,Under Null Hypothesis
40,Des40,Superiority,1,1-Sided,0.005,0.901504219043814,161,0.5,0.65,Under Null Hypothesis
41,Des41,Superiority,1,1-Sided,0.005,0.90446710174747,55,0.5,0.75,Under Null Hypothesis
42,Des42,Superiority,1,1-Sided,0.005,0.966377017847605,9,0.5,0.99,Under Null Hypothesis
43,Des43,Superiority,1,1-Sided,0.025,0.900113938678556,1047,0.5,0.55,Under Null Hypothesis
44,Des44,Superiority,1,1-Sided,0.025,0.901201086736303,113,0.5,0.65,Under Null Hypothesis
45,Des45,Superiority,1,1-Sided,0.025,0.902487210990553,38,0.5,0.75,Under Null Hypothesis
46,Des46,Superiority,1,1-Sided,0.025,0.98657792145943,6,0.5,0.99,Under Null Hypothesis
47,Des47,Superiority,1,1-Sided,0.05,0.900111963762467,853,0.5,0.55,Under Null Hypothesis
48,Des48,Superiority,1,1-Sided,0.05,0.901849711735159,92,0.5,0.65,Under Null Hypothesis
49,Des49,Superiority,1,1-Sided,0.05,0.905784848689909,31,0.5,0.75,Under Null Hypothesis
50,Des50,Superiority,1,1-Sided,0.05,0.943365594713942,4,0.5,0.99,Under Null Hypothesis
51,Des51,Superiority,1,1-Sided,0.1,0.900116908727092,654,0.5,0.55,Under Null Hypothesis
52,Des52,Superiority,1,1-Sided,0.1,0.901082277264275,70,0.5,0.65,Under Null Hypothesis
53,Des53,Superiority,1,1-Sided,0.1,0.901312487486035,23,0.5,0.75,Under Null Hypothesis
54,Des54,Superiority,1,1-Sided,0.1,0.981680597058958,3,0.5,0.99,Under Null Hypothesis
