Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,Expected SS (H0),Expected SS (H1),Maximum Events,Exp. Events (H0),Exp. Events (H1),Comm. Accr. (Dur.),Exp. Accrual Duration (H0),Exp. Accrual Duration (H1),Hazard Ratio (Alt.),Study Duration,Exp. Study Duration (H0),Exp. Study Duration (H1),Var (Log HR),No. of Accrual Periods,
1,Des73,Superiority,1,2-Sided,0.01,0.810041255319141,1,15,14.8475503921509,15,9,9,9,3,2.96951007843018,3,0.1,6,2.96951007843018,5.44724961368411,Null,1,
2,Des74,Superiority,1,2-Sided,0.01,0.810041255319141,1,19,19,19,9,9,9,3,3,3,0.1,6,3.24805760568552,5.60824155807495,Null,1,
3,Des75,Superiority,1,2-Sided,0.01,0.810041255319141,1,30,30,30,9,9,9,3,3,3,0.1,6,3.65840944441516,5.96008590689507,Null,1,
4,Des76,Superiority,1,2-Sided,0.01,0.810041255319141,1,112,112,112,9,9,9,3,3,3,0.1,6,3.89840412139893,5.97755672687299,Null,1,
5,Des77,Superiority,1,2-Sided,0.01,0.803744963381414,1,111,111,111,98,98,98,3,3,3,0.5,6,4.57021359379645,5.92938722725194,Null,1,
6,Des78,Superiority,1,2-Sided,0.01,0.803744963381414,1,139,139,139,98,98,98,3,3,3,0.5,6,4.69090032577515,5.97389464587013,Null,1,
7,Des79,Superiority,1,2-Sided,0.01,0.803744963381414,1,232,232,232,98,98,98,3,3,3,0.5,6,4.78730535507202,5.98728275299072,Null,1,
8,Des80,Superiority,1,2-Sided,0.01,0.803744963381414,1,885,885,885,98,98,98,3,3,3,0.5,6,4.85481977462769,5.99581861495972,Null,1,
9,Des81,Superiority,1,2-Sided,0.01,0.801021781458084,1,396,396,396,368,368,368,3,3,3,0.7,6,5.22767699603885,5.9615592956543,Null,1,
10,Des82,Superiority,1,2-Sided,0.01,0.801021781458084,1,480,480,480,368,368,368,3,3,3,0.7,6,5.27492592341332,5.99119663238525,Null,1,
11,Des83,Superiority,1,2-Sided,0.01,0.801021781458084,1,782,782,782,368,368,368,3,3,3,0.7,6,5.29877471923828,5.99329663599383,Null,1,
12,Des84,Superiority,1,2-Sided,0.01,0.801021781458084,1,2941,2941,2941,368,368,368,3,3,3,0.7,6,5.31944489479065,5.99882555119393,Null,1,
13,Des85,Superiority,1,2-Sided,0.01,0.800077357432331,1,4413,4413,4413,4209,4209,4209,3,3,3,0.9,6,5.78136822441434,5.99598886103922,Null,1,
14,Des86,Superiority,1,2-Sided,0.01,0.800077357432331,1,5200,5200,5200,4209,4209,4209,3,3,3,0.9,6,5.77928251401227,5.99916744388793,Null,1,
15,Des87,Superiority,1,2-Sided,0.01,0.800077357432331,1,8221,8221,8221,4209,4209,4209,3,3,3,0.9,6,5.77690071694997,5.99993848800659,Null,1,
16,Des88,Superiority,1,2-Sided,0.01,0.800077357432331,1,30276,30276,30276,4209,4209,4209,3,3,3,0.9,6,5.77525091171265,5.99987411499023,Null,1,
17,Des89,Superiority,1,2-Sided,0.01,0.800001000198138,1,481608,481608,481608,462492,462492,462492,3,3,3,0.99,6,5.97994440086753,5.99995422372012,Null,1,
18,Des90,Superiority,1,2-Sided,0.01,0.800001000198138,1,561214,561214,561214,462492,462492,462492,3,3,3,0.99,6,5.97886276245117,5.99998569488798,Null,1,
19,Des91,Superiority,1,2-Sided,0.01,0.800001000198138,1,875243,875243,875243,462492,462492,462492,3,3,3,0.99,6,5.97807741165161,5.99998426438333,Null,1,
