Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,nt/nc,Sample Size,πc,Prop. Treatment (Alt.),δ1
1,Des1,Superiority,1,1-Sided Exact,0.005,0.0049904685535101,0.801373258170453,1,294,0.1,0.25,0.15
2,Des2,Superiority,1,1-Sided Exact,0.005,0.00499696145004242,0.800051477991518,1,4690,0.5,0.55,0.05
3,Des3,Superiority,1,1-Sided Exact,0.005,0.00499189150450543,0.800103480347395,1,504,0.5,0.65,0.15
4,Des4,Superiority,1,1-Sided Exact,0.005,0.00499946836431379,0.800385985325942,1,2704,0.8,0.85,0.05
5,Des5,Superiority,1,1-Sided Exact,0.005,0.00487928408544485,0.811078374228738,1,218,0.8,0.95,0.15
6,Des6,Superiority,1,1-Sided Exact,0.025,0.0247642418639386,0.800152862270518,1,1382,0.1,0.15,0.05
7,Des7,Superiority,1,1-Sided Exact,0.025,0.0248115844707701,0.8043383253392,1,200,0.1,0.25,0.15
8,Des8,Superiority,1,1-Sided Exact,0.025,0.0249575356399817,0.79991227221768,1,3164,0.5,0.55,0.05
9,Des9,Superiority,1,1-Sided Exact,0.025,0.0247935991915001,0.796882426151251,1,344,0.5,0.65,0.15
10,Des10,Superiority,1,1-Sided Exact,0.025,0.0247909826579099,0.800465281692837,1,1828,0.8,0.85,0.05
11,Des11,Superiority,1,1-Sided Exact,0.025,0.0247256914557161,0.80536821610478,1,144,0.8,0.95,0.15
12,Des12,Superiority,1,1-Sided Exact,0.5,0.468510021230498,0.800027467358775,1,160,0.1,0.15,0.05
13,Des13,Superiority,1,1-Sided Exact,0.5,0.427767626506372,0.806987693869878,1,30,0.1,0.25,0.15
14,Des14,Superiority,1,1-Sided Exact,0.5,0.477785025623254,0.800612272574381,1,322,0.5,0.55,0.05
15,Des15,Superiority,1,1-Sided Exact,0.5,0.440197788254287,0.806657433729327,1,44,0.5,0.65,0.15
16,Des16,Superiority,1,1-Sided Exact,0.5,0.471965180579984,0.801152094672529,1,202,0.8,0.85,0.05
17,Des17,Superiority,1,1-Sided Exact,0.5,0.422509330262872,0.815260931109799,1,26,0.8,0.95,0.15
18,Des18,Superiority,1,1-Sided Exact,0.005,0.00499603520764733,0.90013354013213,1,2602,0.1,0.15,0.05
19,Des19,Superiority,1,1-Sided Exact,0.005,0.00497150163267482,0.902067531971362,1,374,0.1,0.25,0.15
20,Des20,Superiority,1,1-Sided Exact,0.005,0.00498597663239421,0.900349171677077,1,646,0.5,0.65,0.15
21,Des21,Superiority,1,1-Sided Exact,0.005,0.00499516083588936,0.89979421041711,1,3432,0.8,0.85,0.05
22,Des22,Superiority,1,1-Sided Exact,0.005,0.0049928482366654,0.900248577714196,1,270,0.8,0.95,0.15
23,Des23,Superiority,1,1-Sided Exact,0.025,0.0247215359587576,0.899749985942947,1,1838,0.1,0.15,0.05
24,Des24,Superiority,1,1-Sided Exact,0.025,0.0248373810591903,0.900856454227412,1,264,0.1,0.25,0.15
25,Des25,Superiority,1,1-Sided Exact,0.025,0.0248533712703004,0.900102705657688,1,454,0.5,0.65,0.15
26,Des26,Superiority,1,1-Sided Exact,0.025,0.0247513852360776,0.900236827572632,1,2434,0.8,0.85,0.05
27,Des27,Superiority,1,1-Sided Exact,0.025,0.0249256730019702,0.90111739878934,1,190,0.8,0.95,0.15
28,Des28,Superiority,1,1-Sided Exact,0.5,0.47785359035991,0.900433901171536,1,324,0.1,0.15,0.05
29,Des29,Superiority,1,1-Sided Exact,0.5,0.445961465436007,0.904749031382339,1,54,0.1,0.25,0.15
30,Des30,Superiority,1,1-Sided Exact,0.5,0.484861782026544,0.900103205175343,1,694,0.5,0.55,0.05
31,Des31,Superiority,1,1-Sided Exact,0.5,0.456601093268632,0.90192893171539,1,84,0.5,0.65,0.15
32,Des32,Superiority,1,1-Sided Exact,0.5,0.480451957383002,0.900009264250617,1,416,0.8,0.85,0.05
33,Des33,Superiority,1,1-Sided Exact,0.5,0.438807039005081,0.903583501899852,1,42,0.8,0.95,0.15
