Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,nt/nc,Sample Size,πc,Prop. Treatment (Alt.),δ1
1,Des1,Superiority,1,1-Sided Exact,0.005,0.00498087067583167,0.517238807769306,1,176,0.1,0.25,0.15
2,Des2,Superiority,1,1-Sided Exact,0.005,0.00496973582661841,0.514136310883999,1,288,0.3,0.45,0.15
3,Des3,Superiority,1,1-Sided Exact,0.005,0.00494458018541049,0.509977902900602,1,298,0.5,0.65,0.15
4,Des4,Superiority,1,1-Sided Exact,0.005,0.0049016616007108,0.532023566220287,1,132,0.8,0.95,0.15
5,Des5,Superiority,1,1-Sided Exact,0.025,0.0248265138203567,0.528241021731544,1,104,0.1,0.25,0.15
6,Des6,Superiority,1,1-Sided Exact,0.025,0.0246664885288185,0.517946338683721,1,170,0.3,0.45,0.15
7,Des7,Superiority,1,1-Sided Exact,0.025,0.0246043724732043,0.510194058699177,1,178,0.5,0.65,0.15
8,Des8,Superiority,1,1-Sided Exact,0.025,0.0238488147513142,0.533573304179273,1,80,0.8,0.95,0.15
9,Des9,Superiority,1,1-Sided Exact,0.05,0.0469374206550782,0.514224162963644,1,76,0.1,0.25,0.15
10,Des10,Superiority,1,1-Sided Exact,0.05,0.0496959067516537,0.511510960539981,1,118,0.3,0.45,0.15
11,Des11,Superiority,1,1-Sided Exact,0.05,0.0497511608378773,0.511094163077776,1,128,0.5,0.65,0.15
12,Des12,Superiority,1,1-Sided Exact,0.05,0.0462452219240239,0.520253776948262,1,60,0.8,0.95,0.15
13,Des13,Superiority,1,1-Sided Exact,0.1,0.0803532358274328,0.521725753184151,1,56,0.1,0.25,0.15
14,Des14,Superiority,1,1-Sided Exact,0.1,0.0827210311835558,0.514153157021013,1,88,0.3,0.45,0.15
15,Des15,Superiority,1,1-Sided Exact,0.1,0.0827210311835558,0.511042346950196,1,88,0.5,0.65,0.15
16,Des16,Superiority,1,1-Sided Exact,0.1,0.0919627114859025,0.524238350924004,1,46,0.8,0.95,0.15
17,Des17,Superiority,1,1-Sided Exact,0.245,0.170378965128099,0.526157007769242,1,26,0.1,0.25,0.15
18,Des18,Superiority,1,1-Sided Exact,0.245,0.179418039050529,0.518884256097928,1,48,0.3,0.45,0.15
19,Des19,Superiority,1,1-Sided Exact,0.245,0.179418039050529,0.515278449049938,1,48,0.5,0.65,0.15
20,Des20,Superiority,1,1-Sided Exact,0.245,0.166961259305162,0.516099240776636,1,22,0.8,0.95,0.15
21,Des21,Superiority,1,1-Sided Exact,0.005,0.0049904685535101,0.801373258170453,1,294,0.1,0.25,0.15
22,Des22,Superiority,1,1-Sided Exact,0.005,0.00495905967496687,0.80131033461296,1,494,0.3,0.45,0.15
23,Des23,Superiority,1,1-Sided Exact,0.005,0.00499189150450543,0.800103480347395,1,504,0.5,0.65,0.15
24,Des24,Superiority,1,1-Sided Exact,0.005,0.00487928408544485,0.811078374228738,1,218,0.8,0.95,0.15
25,Des25,Superiority,1,1-Sided Exact,0.025,0.0248115844707701,0.8043383253392,1,200,0.1,0.25,0.15
26,Des26,Superiority,1,1-Sided Exact,0.025,0.0248880144914913,0.800204329122208,1,330,0.3,0.45,0.15
27,Des27,Superiority,1,1-Sided Exact,0.025,0.0247935991915001,0.796882426151251,1,344,0.5,0.65,0.15
28,Des28,Superiority,1,1-Sided Exact,0.025,0.0247256914557161,0.80536821610478,1,144,0.8,0.95,0.15
29,Des29,Superiority,1,1-Sided Exact,0.05,0.0480544614658495,0.802586987061572,1,158,0.1,0.25,0.15
30,Des30,Superiority,1,1-Sided Exact,0.05,0.0497342849858087,0.802179789675933,1,260,0.3,0.45,0.15
31,Des31,Superiority,1,1-Sided Exact,0.05,0.0497271842242237,0.804143369535008,1,272,0.5,0.65,0.15
32,Des32,Superiority,1,1-Sided Exact,0.05,0.0489709623059661,0.801636066943214,1,112,0.8,0.95,0.15
33,Des33,Superiority,1,1-Sided Exact,0.1,0.0829162048620028,0.8045927922703,1,128,0.1,0.25,0.15
34,Des34,Superiority,1,1-Sided Exact,0.1,0.0862263556783329,0.8013772270589,1,212,0.3,0.45,0.15
35,Des35,Superiority,1,1-Sided Exact,0.1,0.0864669270039532,0.80128334026357,1,222,0.5,0.65,0.15
