Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,πc,Prop. Treatment (Alt.),δ1,Variance
1,Des1,Superiority,1,1-Sided,0.005,0.524264376092754,1,26,0.1,0.59,0.49,Pooled Estimate
2,Des2,Superiority,1,1-Sided,0.005,0.51263256446104,1,28,0.3,0.79,0.49,Pooled Estimate
3,Des3,Superiority,1,1-Sided,0.005,0.529242966913217,1,22,0.5,0.99,0.49,Pooled Estimate
4,Des4,Superiority,1,1-Sided,0.025,0.516815904251029,1,15,0.1,0.59,0.49,Pooled Estimate
5,Des5,Superiority,1,1-Sided,0.025,0.53139824036857,1,17,0.3,0.79,0.49,Pooled Estimate
6,Des6,Superiority,1,1-Sided,0.025,0.532155951069047,1,13,0.5,0.99,0.49,Pooled Estimate
7,Des7,Superiority,1,1-Sided,0.05,0.529999201395689,1,11,0.1,0.59,0.49,Pooled Estimate
8,Des8,Superiority,1,1-Sided,0.05,0.527231588571979,1,12,0.3,0.79,0.49,Pooled Estimate
9,Des9,Superiority,1,1-Sided,0.05,0.519991647531779,1,9,0.5,0.99,0.49,Pooled Estimate
10,Des10,Superiority,1,1-Sided,0.1,0.538135044209145,1,7,0.1,0.59,0.49,Pooled Estimate
11,Des11,Superiority,1,1-Sided,0.1,0.55028398278078,1,8,0.3,0.79,0.49,Pooled Estimate
12,Des12,Superiority,1,1-Sided,0.1,0.545876929169006,1,6,0.5,0.99,0.49,Pooled Estimate
13,Des13,Superiority,1,1-Sided,0.005,0.800992939919799,1,41,0.1,0.59,0.49,Pooled Estimate
14,Des14,Superiority,1,1-Sided,0.005,0.808988527244453,1,46,0.3,0.79,0.49,Pooled Estimate
15,Des15,Superiority,1,1-Sided,0.005,0.801925565514563,1,34,0.5,0.99,0.49,Pooled Estimate
16,Des16,Superiority,1,1-Sided,0.025,0.814683628413185,1,28,0.1,0.59,0.49,Pooled Estimate
17,Des17,Superiority,1,1-Sided,0.025,0.80067448539864,1,30,0.3,0.79,0.49,Pooled Estimate
18,Des18,Superiority,1,1-Sided,0.025,0.813173268223203,1,23,0.5,0.99,0.49,Pooled Estimate
19,Des19,Superiority,1,1-Sided,0.05,0.816336723891595,1,22,0.1,0.59,0.49,Pooled Estimate
20,Des20,Superiority,1,1-Sided,0.05,0.810353216209651,1,24,0.3,0.79,0.49,Pooled Estimate
21,Des21,Superiority,1,1-Sided,0.05,0.814520650013736,1,18,0.5,0.99,0.49,Pooled Estimate
22,Des22,Superiority,1,1-Sided,0.1,0.818643560928588,1,16,0.1,0.59,0.49,Pooled Estimate
23,Des23,Superiority,1,1-Sided,0.1,0.804563354482088,1,17,0.3,0.79,0.49,Pooled Estimate
