Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,πc,Prop. Treatment (Alt.),δ1,Variance
1,Des1,Superiority,1,1-Sided,0.005,0.512042387009697,1,69,0.1,0.35,0.25,Unpooled Estimate
2,Des2,Superiority,1,1-Sided,0.005,0.515041568701602,1,100,0.3,0.55,0.25,Unpooled Estimate
3,Des3,Superiority,1,1-Sided,0.005,0.511611989611919,1,95,0.5,0.75,0.25,Unpooled Estimate
4,Des4,Superiority,1,1-Sided,0.025,0.519490444771033,1,41,0.1,0.35,0.25,Unpooled Estimate
5,Des5,Superiority,1,1-Sided,0.025,0.512145995518516,1,58,0.3,0.55,0.25,Unpooled Estimate
6,Des6,Superiority,1,1-Sided,0.025,0.515967792967065,1,56,0.5,0.75,0.25,Unpooled Estimate
7,Des7,Superiority,1,1-Sided,0.05,0.517796028396349,1,29,0.1,0.35,0.25,Unpooled Estimate
8,Des8,Superiority,1,1-Sided,0.05,0.51142003773635,1,41,0.3,0.55,0.25,Unpooled Estimate
9,Des9,Superiority,1,1-Sided,0.05,0.518127631623129,1,40,0.5,0.75,0.25,Unpooled Estimate
10,Des10,Superiority,1,1-Sided,0.1,0.519732886674619,1,18,0.1,0.35,0.25,Unpooled Estimate
11,Des11,Superiority,1,1-Sided,0.1,0.510060005719099,1,25,0.3,0.55,0.25,Unpooled Estimate
12,Des12,Superiority,1,1-Sided,0.1,0.511071530816163,1,24,0.5,0.75,0.25,Unpooled Estimate
13,Des13,Superiority,1,1-Sided,0.245,0.531151381987882,1,6,0.1,0.35,0.25,Unpooled Estimate
14,Des14,Superiority,1,1-Sided,0.245,0.519505465230763,1,8,0.3,0.55,0.25,Unpooled Estimate
15,Des15,Superiority,1,1-Sided,0.245,0.52615986568869,1,8,0.5,0.75,0.25,Unpooled Estimate
16,Des16,Superiority,1,1-Sided,0.005,0.801373675262801,1,119,0.1,0.35,0.25,Unpooled Estimate
17,Des17,Superiority,1,1-Sided,0.005,0.800055686291201,1,171,0.3,0.55,0.25,Unpooled Estimate
18,Des18,Superiority,1,1-Sided,0.005,0.801442392940861,1,164,0.5,0.75,0.25,Unpooled Estimate
19,Des19,Superiority,1,1-Sided,0.025,0.801252546163757,1,80,0.1,0.35,0.25,Unpooled Estimate
20,Des20,Superiority,1,1-Sided,0.025,0.800315141522779,1,115,0.3,0.55,0.25,Unpooled Estimate
21,Des21,Superiority,1,1-Sided,0.025,0.800412501141462,1,110,0.5,0.75,0.25,Unpooled Estimate
22,Des22,Superiority,1,1-Sided,0.05,0.8010239658493,1,63,0.1,0.35,0.25,Unpooled Estimate
23,Des23,Superiority,1,1-Sided,0.05,0.801866326851476,1,91,0.3,0.55,0.25,Unpooled Estimate
24,Des24,Superiority,1,1-Sided,0.05,0.801779143931444,1,87,0.5,0.75,0.25,Unpooled Estimate
25,Des25,Superiority,1,1-Sided,0.1,0.801294634043154,1,46,0.1,0.35,0.25,Unpooled Estimate
26,Des26,Superiority,1,1-Sided,0.1,0.800022018521239,1,66,0.3,0.55,0.25,Unpooled Estimate
27,Des27,Superiority,1,1-Sided,0.1,0.804149970533201,1,64,0.5,0.75,0.25,Unpooled Estimate
28,Des28,Superiority,1,1-Sided,0.245,0.801401462835356,1,24,0.1,0.35,0.25,Unpooled Estimate
