Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,nt/nc,Spacing of Looks,Efficacy Boundary,Futility Boundary,Sample Size,Expected SS (H0),Expected SS (H1),πc,Prop. Treatment (Alt.),Variance
1,Des1,Superiority,4,1-Sided,0.005,0.00319586163027104,0.510291361080571,1,Equal,LD (OF),LD (OF) (NB),1525,522.969882081736,1042.80875337188,0.1,0.15,Pooled Estimate
2,Des2,Superiority,4,1-Sided,0.005,0.00319748859186182,0.510201134219513,1,Equal,LD (OF),LD (OF) (NB),3059,1049.36236142124,2091.19475038501,0.3,0.35,Pooled Estimate
3,Des3,Superiority,4,1-Sided,0.005,0.00319710593712895,0.510080272130039,1,Equal,LD (OF),LD (OF) (NB),3477,1192.58882757023,2376.63216667037,0.5,0.55,Pooled Estimate
4,Des4,Superiority,4,1-Sided,0.005,0.00319639858170193,0.51020001818345,1,Equal,LD (OF),LD (OF) (NB),2013,690.374578459652,1376.26422423373,0.8,0.85,Pooled Estimate
5,Des5,Superiority,4,1-Sided,0.005,0.00319440142443775,0.51033165606297,1,Equal,LD (OF),LD (OF) (NB),967,331.568926628723,661.423120003296,0.9,0.95,Pooled Estimate
6,Des6,Superiority,4,1-Sided,0.025,0.0170981114076902,0.510262484347182,1,Equal,LD (OF),LD (OF) (NB),951,374.726675287072,625.857601402394,0.1,0.15,Pooled Estimate
7,Des7,Superiority,4,1-Sided,0.025,0.0171077419644093,0.510312611024639,1,Equal,LD (OF),LD (OF) (NB),1908,752.045191770136,1255.5328751013,0.3,0.35,Pooled Estimate
8,Des8,Superiority,4,1-Sided,0.025,0.0171038705568134,0.510026479162334,1,Equal,LD (OF),LD (OF) (NB),2168,854.326490360383,1426.23547651814,0.5,0.55,Pooled Estimate
9,Des9,Superiority,4,1-Sided,0.025,0.0170985596810876,0.510035794990424,1,Equal,LD (OF),LD (OF) (NB),1255,494.484888087518,825.68642351208,0.8,0.85,Pooled Estimate
10,Des10,Superiority,4,1-Sided,0.025,0.0170864779583614,0.510197943384849,1,Equal,LD (OF),LD (OF) (NB),603,237.491993994279,396.902347654663,0.9,0.95,Pooled Estimate
11,Des11,Superiority,4,1-Sided,0.05,0.0355497272420562,0.51012304136516,1,Equal,LD (OF),LD (OF) (NB),707,301.236170656235,453.851440630787,0.1,0.15,Pooled Estimate
12,Des12,Superiority,4,1-Sided,0.05,0.0355600952517537,0.509978696046885,1,Equal,LD (OF),LD (OF) (NB),1418,604.276439746751,910.039172714878,0.3,0.35,Pooled Estimate
13,Des13,Superiority,4,1-Sided,0.05,0.0355672723596458,0.510042553926282,1,Equal,LD (OF),LD (OF) (NB),1612,687.032129893374,1034.5908550803,0.5,0.55,Pooled Estimate
14,Des14,Superiority,4,1-Sided,0.05,0.0355640977029042,0.510447893703512,1,Equal,LD (OF),LD (OF) (NB),934,398.108974912184,599.71935326163,0.8,0.85,Pooled Estimate
15,Des15,Superiority,4,1-Sided,0.05,0.0355467858920614,0.510824858375507,1,Equal,LD (OF),LD (OF) (NB),449,191.372394315804,288.504630673778,0.9,0.95,Pooled Estimate
16,Des16,Superiority,4,1-Sided,0.1,0.0746078631876796,0.51030592865199,1,Equal,LD (OF),LD (OF) (NB),468,217.754422047852,290.373919727647,0.1,0.15,Pooled Estimate
17,Des17,Superiority,4,1-Sided,0.1,0.074661563320979,0.510452371557796,1,Equal,LD (OF),LD (OF) (NB),939,437.230799272296,582.4819793551,0.3,0.35,Pooled Estimate
