Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,Sample Size,π0,π1,Variance
1,Des1,Superiority,1,1-Sided,0.025,0.901175973841619,137,0.8,0.9,Under Null Hypothesis
79,Des2,Superiority,1,1-Sided,0.005,0.510280657633972,569,0.3,0.35,Under Null Hypothesis
80,Des3,Superiority,1,1-Sided,0.005,0.515718642336337,64,0.3,0.45,Under Null Hypothesis
81,Des4,Superiority,1,1-Sided,0.005,0.514883577530923,23,0.3,0.55,Under Null Hypothesis
82,Des5,Superiority,1,1-Sided,0.005,0.519441145435585,6,0.3,0.79,Under Null Hypothesis
83,Des6,Superiority,1,1-Sided,0.025,0.510767496152864,332,0.3,0.35,Under Null Hypothesis
84,Des7,Superiority,1,1-Sided,0.025,0.511422403326529,37,0.3,0.45,Under Null Hypothesis
85,Des8,Superiority,1,1-Sided,0.025,0.52983985508796,14,0.3,0.55,Under Null Hypothesis
86,Des9,Superiority,1,1-Sided,0.025,0.579614920830157,4,0.3,0.79,Under Null Hypothesis
87,Des10,Superiority,1,1-Sided,0.05,0.510636924950703,235,0.3,0.35,Under Null Hypothesis
88,Des11,Superiority,1,1-Sided,0.05,0.520564727810789,27,0.3,0.45,Under Null Hypothesis
89,Des12,Superiority,1,1-Sided,0.05,0.529485414201246,10,0.3,0.55,Under Null Hypothesis
90,Des13,Superiority,1,1-Sided,0.05,0.592153089682783,3,0.3,0.79,Under Null Hypothesis
91,Des14,Superiority,1,1-Sided,0.1,0.510637287786801,144,0.3,0.35,Under Null Hypothesis
92,Des15,Superiority,1,1-Sided,0.1,0.510198543835725,16,0.3,0.45,Under Null Hypothesis
93,Des16,Superiority,1,1-Sided,0.1,0.520112635003587,6,0.3,0.55,Under Null Hypothesis
94,Des17,Superiority,1,1-Sided,0.1,0.602363375861413,2,0.3,0.79,Under Null Hypothesis
95,Des18,Superiority,1,1-Sided,0.245,0.512814307181211,44,0.3,0.35,Under Null Hypothesis
96,Des19,Superiority,1,1-Sided,0.245,0.515289331534167,5,0.3,0.45,Under Null Hypothesis
97,Des20,Superiority,1,1-Sided,0.245,0.529814371776906,2,0.3,0.55,Under Null Hypothesis
98,Des21,Superiority,1,1-Sided,0.005,0.800063491144323,1001,0.3,0.35,Under Null Hypothesis
99,Des22,Superiority,1,1-Sided,0.005,0.801385494530698,114,0.3,0.45,Under Null Hypothesis
100,Des23,Superiority,1,1-Sided,0.005,0.800947716577818,41,0.3,0.55,Under Null Hypothesis
101,Des24,Superiority,1,1-Sided,0.005,0.817598023688875,10,0.3,0.79,Under Null Hypothesis
102,Des25,Superiority,1,1-Sided,0.025,0.800237002526438,676,0.3,0.35,Under Null Hypothesis
103,Des26,Superiority,1,1-Sided,0.025,0.804412879855177,78,0.3,0.45,Under Null Hypothesis
104,Des27,Superiority,1,1-Sided,0.025,0.803362676011515,28,0.3,0.55,Under Null Hypothesis
105,Des28,Superiority,1,1-Sided,0.025,0.835903546284768,7,0.3,0.79,Under Null Hypothesis
106,Des29,Superiority,1,1-Sided,0.05,0.800133583704263,534,0.3,0.35,Under Null Hypothesis
107,Des30,Superiority,1,1-Sided,0.05,0.804822783798928,62,0.3,0.45,Under Null Hypothesis
108,Des31,Superiority,1,1-Sided,0.05,0.80007654544912,22,0.3,0.55,Under Null Hypothesis
109,Des32,Superiority,1,1-Sided,0.05,0.86350010502433,6,0.3,0.79,Under Null Hypothesis
110,Des33,Superiority,1,1-Sided,0.1,0.8007276450542,392,0.3,0.35,Under Null Hypothesis
111,Des34,Superiority,1,1-Sided,0.1,0.800139872838794,45,0.3,0.45,Under Null Hypothesis
112,Des35,Superiority,1,1-Sided,0.1,0.813658752487178,17,0.3,0.55,Under Null Hypothesis
113,Des36,Superiority,1,1-Sided,0.1,0.832522670949347,4,0.3,0.79,Under Null Hypothesis
114,Des37,Superiority,1,1-Sided,0.245,0.800942339974897,207,0.3,0.35,Under Null Hypothesis
115,Des38,Superiority,1,1-Sided,0.245,0.808311491846337,25,0.3,0.45,Under Null Hypothesis
116,Des39,Superiority,1,1-Sided,0.245,0.808311491846337,9,0.3,0.55,Under Null Hypothesis
117,Des40,Superiority,1,1-Sided,0.245,0.822431010080043,2,0.3,0.79,Under Null Hypothesis
118,Des41,Superiority,1,1-Sided,0.005,0.900253799192403,1285,0.3,0.35,Under Null Hypothesis
119,Des42,Superiority,1,1-Sided,0.005,0.900245380292087,147,0.3,0.45,Under Null Hypothesis
120,Des43,Superiority,1,1-Sided,0.005,0.900728397166278,53,0.3,0.55,Under Null Hypothesis
121,Des44,Superiority,1,1-Sided,0.005,0.924997852508839,13,0.3,0.79,Under Null Hypothesis
122,Des45,Superiority,1,1-Sided,0.025,0.900197596570841,912,0.3,0.35,Under Null Hypothesis
123,Des46,Superiority,1,1-Sided,0.025,0.900461493353922,105,0.3,0.45,Under Null Hypothesis
124,Des47,Superiority,1,1-Sided,0.025,0.901881726280916,38,0.3,0.55,Under Null Hypothesis
125,Des48,Superiority,1,1-Sided,0.025,0.919829938271648,9,0.3,0.79,Under Null Hypothesis
126,Des49,Superiority,1,1-Sided,0.05,0.900228767361692,746,0.3,0.35,Under Null Hypothesis
127,Des50,Superiority,1,1-Sided,0.05,0.902715829744247,87,0.3,0.45,Under Null Hypothesis
128,Des51,Superiority,1,1-Sided,0.05,0.900215232873049,31,0.3,0.55,Under Null Hypothesis
129,Des52,Superiority,1,1-Sided,0.05,0.908617070524753,7,0.3,0.79,Under Null Hypothesis
130,Des53,Superiority,1,1-Sided,0.1,0.900152992813536,575,0.3,0.35,Under Null Hypothesis
131,Des54,Superiority,1,1-Sided,0.1,0.901039631707573,67,0.3,0.45,Under Null Hypothesis
132,Des55,Superiority,1,1-Sided,0.1,0.908588947371804,25,0.3,0.55,Under Null Hypothesis
133,Des56,Superiority,1,1-Sided,0.1,0.933828610201459,6,0.3,0.79,Under Null Hypothesis
134,Des57,Superiority,1,1-Sided,0.245,0.900407222117538,345,0.3,0.35,Under Null Hypothesis
135,Des58,Superiority,1,1-Sided,0.245,0.902296549061271,41,0.3,0.45,Under Null Hypothesis
136,Des59,Superiority,1,1-Sided,0.245,0.904966604907699,15,0.3,0.55,Under Null Hypothesis
137,Des60,Superiority,1,1-Sided,0.245,0.904399391658081,3,0.3,0.79,Under Null Hypothesis
138,Des61,Superiority,1,1-Sided,0.005,0.990011505277415,2098,0.3,0.35,Under Null Hypothesis
139,Des62,Superiority,1,1-Sided,0.005,0.990028457689908,243,0.3,0.45,Under Null Hypothesis
140,Des63,Superiority,1,1-Sided,0.005,0.990393324891098,88,0.3,0.55,Under Null Hypothesis
141,Des64,Superiority,1,1-Sided,0.005,0.990507075266516,19,0.3,0.79,Under Null Hypothesis
142,Des65,Superiority,1,1-Sided,0.025,0.990019150925038,1613,0.3,0.35,Under Null Hypothesis
143,Des66,Superiority,1,1-Sided,0.025,0.990063286497235,188,0.3,0.45,Under Null Hypothesis
144,Des67,Superiority,1,1-Sided,0.025,0.990319098632875,68,0.3,0.55,Under Null Hypothesis
145,Des68,Superiority,1,1-Sided,0.025,0.992939000389201,15,0.3,0.79,Under Null Hypothesis
146,Des69,Superiority,1,1-Sided,0.05,0.990005624044306,1389,0.3,0.35,Under Null Hypothesis
147,Des70,Superiority,1,1-Sided,0.05,0.990210284463889,163,0.3,0.45,Under Null Hypothesis
148,Des71,Superiority,1,1-Sided,0.05,0.990481178274068,59,0.3,0.55,Under Null Hypothesis
149,Des72,Superiority,1,1-Sided,0.05,0.993557748198892,13,0.3,0.79,Under Null Hypothesis
150,Des73,Superiority,1,1-Sided,0.1,0.990009961660241,1152,0.3,0.35,Under Null Hypothesis
