Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,Expected SS (H0),Expected SS (H1),Maximum Events,Exp. Events (H0),Exp. Events (H1),Comm. Accr. (Dur.),Exp. Accrual Duration (H0),Exp. Accrual Duration (H1),Hazard Ratio (Alt.),Study Duration,Exp. Study Duration (H0),Exp. Study Duration (H1),Var (Log HR),No. of Accrual Periods,
1,Des73,Superiority,1,2-Sided,0.01,0.596481421893255,1,10,9.89836692810059,10,6,6,6,3,2.96951007843018,3,0.1,6,2.96951007843018,5.44724961368411,Null,1,
2,Des74,Superiority,1,2-Sided,0.01,0.596481421893255,1,13,13,13,6,6,6,3,3,3,0.1,6,3.19121074676514,5.40503653999167,Null,1,
3,Des75,Superiority,1,2-Sided,0.01,0.596481421893255,1,20,20,20,6,6,6,3,3,3,0.1,6,3.65840944441516,5.96008590689507,Null,1,
4,Des76,Superiority,1,2-Sided,0.01,0.596481421893255,1,75,75,75,6,6,6,3,3,3,0.1,6,3.88734912872314,5.9562292098999,Null,1,
5,Des77,Superiority,1,2-Sided,0.01,0.516250079093527,1,65,65,65,57,57,57,3,3,3,0.5,6,4.50554466247559,5.81970491538894,Null,1,
6,Des78,Superiority,1,2-Sided,0.01,0.516250079093527,1,81,81,81,57,57,57,3,3,3,0.5,6,4.67966920883782,5.95660976732688,Null,1,
7,Des79,Superiority,1,2-Sided,0.01,0.516250079093527,1,135,135,135,57,57,57,3,3,3,0.5,6,4.78535672630187,5.98451471328735,Null,1,
8,Des80,Superiority,1,2-Sided,0.01,0.516250079093527,1,515,515,515,57,57,57,3,3,3,0.5,6,4.85306239128113,5.99344397215873,Null,1,
9,Des81,Superiority,1,2-Sided,0.01,0.510738503339217,1,229,229,229,213,213,213,3,3,3,0.7,6,5.24321367937591,5.98133761840654,Null,1,
10,Des82,Superiority,1,2-Sided,0.01,0.510738503339217,1,278,278,278,213,213,213,3,3,3,0.7,6,5.26980968509724,5.98490241067157,Null,1,
11,Des83,Superiority,1,2-Sided,0.01,0.510738503339217,1,453,453,453,213,213,213,3,3,3,0.7,6,5.29445667795017,5.9881138914875,Null,1,
12,Des84,Superiority,1,2-Sided,0.01,0.510738503339217,1,1702,1702,1702,213,213,213,3,3,3,0.7,6,5.32007575035095,5.99957227747154,Null,1,
13,Des85,Superiority,1,2-Sided,0.01,0.510098963690045,1,2556,2556,2556,2438,2438,2438,3,3,3,0.9,6,5.78309523346979,5.99781991679629,Null,1,
14,Des86,Superiority,1,2-Sided,0.01,0.510098963690045,1,3012,3012,3012,2438,2438,2438,3,3,3,0.9,6,5.77935976148456,5.99925041269671,Null,1,
15,Des87,Superiority,1,2-Sided,0.01,0.510098963690045,1,4762,4762,4762,2438,2438,2438,3,3,3,0.9,6,5.7767590965841,5.99979114551843,Null,1,
16,Des88,Superiority,1,2-Sided,0.01,0.510098963690045,1,17537,17537,17537,2438,2438,2438,3,3,3,0.9,6,5.77523159980774,5.9998490811779,Null,1,
17,Des89,Superiority,1,2-Sided,0.01,0.510001569523877,1,278957,278957,278957,267884,267884,267884,3,3,3,0.99,6,5.97986991923244,5.99987983760366,Null,1,
18,Des90,Superiority,1,2-Sided,0.01,0.510001569523877,1,325066,325066,325066,267884,267884,267884,3,3,3,0.99,6,5.97884565679847,5.99997138979234,Null,1,
19,Des91,Superiority,1,2-Sided,0.01,0.510001569523877,1,506957,506957,506957,267884,267884,267884,3,3,3,0.99,6,5.97807741165161,5.99998426438333,Null,1,
20,Des92,Superiority,1,2-Sided,0.01,0.510001569523877,1,1845968,1845968,1845968,267884,267884,267884,3,3,3,0.99,6,5.97762036323547,5.99999713897432,Null,1,
21,Des93,Superiority,1,2-Sided,0.05,0.512384111634414,1,38,38,38,33,33,33,3,3,3,0.5,6,4.41851265514561,5.67302320565463,Null,1,
22,Des94,Superiority,1,2-Sided,0.05,0.512384111634414,1,47,47,47,33,33,33,3,3,3,0.5,6,4.6664514541626,5.9362735748291,Null,1,
23,Des95,Superiority,1,2-Sided,0.05,0.512384111634414,1,78,78,78,33,33,33,3,3,3,0.5,6,4.79405164718628,5.99686861336295,Null,1,
24,Des96,Superiority,1,2-Sided,0.05,0.512384111634414,1,298,298,298,33,33,33,3,3,3,0.5,6,4.85494208335876,5.99598598480225,Null,1,
25,Des97,Superiority,1,2-Sided,0.05,0.510378410308962,1,134,134,134,124,124,124,3,3,3,0.7,6,5.15738090764444,5.87212444982195,Null,1,
26,Des98,Superiority,1,2-Sided,0.05,0.510378410308962,1,162,162,162,124,124,124,3,3,3,0.7,6,5.261775947979,5.97501473421835,Null,1,
27,Des99,Superiority,1,2-Sided,0.05,0.510378410308962,1,264,264,264,124,124,124,3,3,3,0.7,6,5.28889989852905,5.98144485335297,Null,1,
28,Des100,Superiority,1,2-Sided,0.05,0.510378410308962,1,991,991,991,124,124,124,3,3,3,0.7,6,5.3193998336792,5.99877405282996,Null,1,
29,Des101,Superiority,1,2-Sided,0.05,0.510084281413674,1,1489,1489,1489,1420,1420,1420,3,3,3,0.9,6,5.77819188184205,5.99261861675768,Null,1,
30,Des102,Superiority,1,2-Sided,0.05,0.510084281413674,1,1755,1755,1755,1420,1420,1420,3,3,3,0.9,6,5.77528402777716,5.99493886484469,Null,1,
31,Des103,Superiority,1,2-Sided,0.05,0.510084281413674,1,2774,2774,2774,1420,1420,1420,3,3,3,0.9,6,5.77587625896285,5.99885702133179,Null,1,
32,Des104,Superiority,1,2-Sided,0.05,0.510084281413674,1,10215,10215,10215,1420,1420,1420,3,3,3,0.9,6,5.77492904663086,5.99953365369856,Null,1,
33,Des105,Superiority,1,2-Sided,0.05,0.510000863056039,1,162473,162473,162473,156024,156024,156024,3,3,3,0.99,6,5.97991571455161,5.99992561364343,Null,1,
34,Des106,Superiority,1,2-Sided,0.05,0.510000863056039,1,189329,189329,189329,156024,156024,156024,3,3,3,0.99,6,5.9788199076656,5.99994564061035,Null,1,
35,Des107,Superiority,1,2-Sided,0.05,0.510000863056039,1,295268,295268,295268,156024,156024,156024,3,3,3,0.99,6,5.97806600937383,5.99997711181641,Null,1,
36,Des108,Superiority,1,2-Sided,0.05,0.510000863056039,1,1075149,1075149,1075149,156024,156024,156024,3,3,3,0.99,6,5.97762109982796,5.99999713897432,Null,1,
37,Des109,Superiority,1,2-Sided,0.1,0.521550175372931,1,28,28,28,24,24,24,3,3,3,0.5,6,4.31137025570206,5.49389172763404,Null,1,
38,Des110,Superiority,1,2-Sided,0.1,0.521550175372931,1,34,34,34,24,24,24,3,3,3,0.5,6,4.69805860519409,5.98492245215672,Null,1,
39,Des111,Superiority,1,2-Sided,0.1,0.521550175372931,1,57,57,57,24,24,24,3,3,3,0.5,6,4.77347803115845,5.96764329180814,Null,1,
40,Des112,Superiority,1,2-Sided,0.1,0.521550175372931,1,217,217,217,24,24,24,3,3,3,0.5,6,4.85048284484151,5.98996067047119,Null,1,
41,Des113,Superiority,1,2-Sided,0.1,0.511662498113031,1,95,95,95,88,88,88,3,3,3,0.7,6,5.17394256591797,5.89318156007039,Null,1,
42,Des114,Superiority,1,2-Sided,0.1,0.511662498113031,1,115,115,115,88,88,88,3,3,3,0.7,6,5.25949714754643,5.97220807605845,Null,1,
43,Des115,Superiority,1,2-Sided,0.1,0.511662498113031,1,187,187,187,88,88,88,3,3,3,0.7,6,5.29877471923828,5.99329663599383,Null,1,
44,Des116,Superiority,1,2-Sided,0.1,0.511662498113031,1,704,704,704,88,88,88,3,3,3,0.7,6,5.31529420347283,5.99392604827881,Null,1,
45,Des117,Superiority,1,2-Sided,0.1,0.510181334767522,1,1053,1053,1053,1004,1004,1004,3,3,3,0.9,6,5.7727551026037,5.98685083849705,Null,1,
46,Des118,Superiority,1,2-Sided,0.1,0.510181334767522,1,1241,1241,1241,1004,1004,1004,3,3,3,0.9,6,5.77408669081478,5.99366999877657,Null,1,
47,Des119,Superiority,1,2-Sided,0.1,0.510181334767522,1,1961,1961,1961,1004,1004,1004,3,3,3,0.9,6,5.7769264661074,5.99996423721313,Null,1,
48,Des120,Superiority,1,2-Sided,0.1,0.510181334767522,1,7222,7222,7222,1004,1004,1004,3,3,3,0.9,6,5.7752067802312,5.99982905387878,Null,1,
49,Des121,Superiority,1,2-Sided,0.1,0.510001590520097,1,114838,114838,114838,110279,110279,110279,3,3,3,0.99,6,5.97969831649035,5.99970817619396,Null,1,
50,Des122,Superiority,1,2-Sided,0.1,0.510001590520097,1,133819,133819,133819,110279,110279,110279,3,3,3,0.99,6,5.97883995489974,5.99996566776827,Null,1,
51,Des123,Superiority,1,2-Sided,0.1,0.510001590520097,1,208698,208698,208698,110279,110279,110279,3,3,3,0.99,6,5.97805883592173,5.99997138979234,Null,1,
52,Des124,Superiority,1,2-Sided,0.1,0.510001590520097,1,759924,759924,759924,110279,110279,110279,3,3,3,0.99,6,5.97762109982796,5.99999713897432,Null,1,
53,Des125,Superiority,1,2-Sided,0.2,0.51103113448506,1,16,16,16,14,14,14,3,3,3,0.5,6,4.48534445184393,5.78556714786828,Null,1,
54,Des126,Superiority,1,2-Sided,0.2,0.51103113448506,1,20,20,20,14,14,14,3,3,3,0.5,6,4.64871425872207,5.9090051651001,Null,1,
55,Des127,Superiority,1,2-Sided,0.2,0.51103113448506,1,34,34,34,14,14,14,3,3,3,0.5,6,4.68001038549914,5.83500194549561,Null,1,
56,Des128,Superiority,1,2-Sided,0.2,0.51103113448506,1,127,127,127,14,14,14,3,3,3,0.5,6,4.83886996376555,5.97427296638489,Null,1,
57,Des129,Superiority,1,2-Sided,0.2,0.511629790141289,1,57,57,57,53,53,53,3,3,3,0.7,6,5.23751236198677,5.974076369861,Null,1,
58,Des130,Superiority,1,2-Sided,0.2,0.511629790141289,1,70,70,70,53,53,53,3,3,3,0.7,6,5.17524590443463,5.8685934665591,Null,1,
59,Des131,Superiority,1,2-Sided,0.2,0.511629790141289,1,113,113,113,53,53,53,3,3,3,0.7,6,5.28147909022891,5.97254133224487,Null,1,
60,Des132,Superiority,1,2-Sided,0.2,0.511629790141289,1,424,424,424,53,53,53,3,3,3,0.7,6,5.31529420347283,5.99392604827881,Null,1,
61,Des133,Superiority,1,2-Sided,0.2,0.510236018527988,1,634,634,634,604,604,604,3,3,3,0.9,6,5.7509603462895,5.96372253997989,Null,1,
62,Des134,Superiority,1,2-Sided,0.2,0.510236018527988,1,747,747,747,604,604,604,3,3,3,0.9,6,5.76812575518488,5.98736861977975,Null,1,
63,Des135,Superiority,1,2-Sided,0.2,0.510236018527988,1,1180,1180,1180,604,604,604,3,3,3,0.9,6,5.7754955291748,5.99845218805513,Null,1,
64,Des136,Superiority,1,2-Sided,0.2,0.510236018527988,1,4345,4345,4345,604,604,604,3,3,3,0.9,6,5.77489779004736,5.99950075149536,Null,1,
65,Des137,Superiority,1,2-Sided,0.2,0.51000301616184,1,69059,69059,69059,66317,66317,66317,3,3,3,0.99,6,5.979509431716,5.99951935146237,Null,1,
66,Des138,Superiority,1,2-Sided,0.2,0.51000301616184,1,80473,80473,80473,66317,66317,66317,3,3,3,0.99,6,5.97883131138133,5.99995994575511,Null,1,
67,Des139,Superiority,1,2-Sided,0.2,0.51000301616184,1,125502,125502,125502,66317,66317,66317,3,3,3,0.99,6,5.97805883592173,5.99996423721313,Null,1,
68,Des140,Superiority,1,2-Sided,0.2,0.51000301616184,1,456986,456986,456986,66317,66317,66317,3,3,3,0.99,6,5.97761392593384,5.99998998641968,Null,1,
69,Des141,Superiority,1,2-Sided,0.49,0.510075266065836,1,36,36,36,34,34,34,3,3,3,0.9,6,5.54187758675107,5.74192625450087,Null,1,
70,Des142,Superiority,1,2-Sided,0.49,0.510075266065836,1,43,43,43,34,34,34,3,3,3,0.9,6,5.54575053069857,5.75227713367212,Null,1,
71,Des143,Superiority,1,2-Sided,0.49,0.510075266065836,1,67,67,67,34,34,34,3,3,3,0.9,6,5.72277402877808,5.94284682955504,Null,1,
72,Des144,Superiority,1,2-Sided,0.49,0.510075266065836,1,245,245,245,34,34,34,3,3,3,0.9,6,5.7671344116784,5.99132537841797,Null,1,
73,Des145,Superiority,1,2-Sided,0.49,0.510003772771392,1,3877,3877,3877,3723,3723,3723,3,3,3,0.99,6,5.97897734352019,5.9989814787059,Null,1,
74,Des146,Superiority,1,2-Sided,0.49,0.510003772771392,1,4518,4518,4518,3723,3723,3723,3,3,3,0.99,6,5.97808458510372,5.99920463562012,Null,1,
75,Des147,Superiority,1,2-Sided,0.49,0.510003772771392,1,7046,7046,7046,3723,3723,3723,3,3,3,0.99,6,5.97769264659109,5.99960374832153,Null,1,
76,Des148,Superiority,1,2-Sided,0.49,0.510003772771392,1,25655,25655,25655,3723,3723,3723,3,3,3,0.99,6,5.97760105133057,5.99997711181641,Null,1,
