 ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48
Test Significance Level, ??;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2
1 or 2 Sided Test??;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two
Test Statistic?;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled;ZTestPooled
Power Calculation Method?;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox
Group 1 Proportion, ???;0,15;0,15;0,15;0,15;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,15;0,15;0,15;0,15;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,15;0,15;0,15;0,15;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,15;0,15;0,15;0,15;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,25;0,25;0,25;0,25;0,45;0,45;0,45;0,45;0,65;0,65;0,65;0,65;0,95;0,95;0,95;0,95;0,25;0,25;0,25;0,25;0,45;0,45;0,45;0,45;0,65;0,65;0,65;0,65;0,95;0,95;0,95;0,95;0,25;0,25;0,25;0,25;0,45;0,45;0,45;0,45;0,65;0,65;0,65;0,65;0,95;0,95;0,95;0,95;0,25;0,25;0,25;0,25;0,45;0,45;0,45;0,45;0,65;0,65;0,65;0,65;0,95;0,95;0,95;0,95;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,75;0,75;0,75;0,75;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,75;0,75;0,75;0,75;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,75;0,75;0,75;0,75;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,75;0,75;0,75;0,75;0,59;0,59;0,59;0,59;0,79;0,79;0,79;0,79;0,99;0,99;0,99;0,99;0,59;0,59;0,59;0,59;0,79;0,79;0,79;0,79;0,99;0,99;0,99;0,99;0,59;0,59;0,59;0,59;0,79;0,79;0,79;0,79;0,99;0,99;0,99;0,99;0,59;0,59;0,59;0,59;0,79;0,79;0,79;0,79;0,99;0,99;0,99;0,99
Group 2 Proportion, ???;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,9;0,9;0,9;0,9;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,9;0,9;0,9;0,9;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,9;0,9;0,9;0,9;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,9;0,9;0,9;0,9;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5
Difference between Proportions, D = ?? - ???;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49
Group 1 Sample Size, n??;592;345;244;146;1188;692;489;294;1350;786;556;334;782;456;322;194;376;219;155;93;1020;686;540;394;2048;1376;1084;790;2329;1565;1232;898;1348;906;714;520;647;434;342;250;1300;918;748;574;2609;1842;1502;1151;2966;2094;1707;1309;1716;1212;988;757;824;582;474;363;2098;1603;1376;1135;4212;3220;2764;2280;4789;3660;3142;2593;2770;2118;1817;1500;1328;1015;871;718;87;50;36;22;141;82;58;35;147;86;61;36;66;39;28;17;148;100;78;57;242;162;128;93;252;170;134;97;112;76;60;43;188;133;108;83;308;217;177;136;321;226;184;142;142;100;82;62;303;231;198;163;495;378;324;267;516;394;338;279;228;174;149;122;38;22;16;10;53;31;22;14;51;30;21;13;64;43;34;24;90;60;48;34;86;58;46;33;80;56;46;35;114;80;66;50;110;77;62;48;128;98;84;68;182;139;119;98;174;133;114;94;13;8;6;4;14;8;6;4;11;7;5;3;20;14;11;8;23;15;12;8;17;12;9;6;26;18;14;11;28;20;16;12;21;14;12;9;40;30;25;20;44;33;28;23;32;24;20;16
Group 2 Sample Size, n??;592;345;244;147;1187;691;489;294;1350;786;556;335;781;455;322;193;375;219;155;93;1021;686;540;393;2049;1377;1084;789;2329;1565;1233;897;1347;905;713;519;647;435;343;249;1300;917;747;573;2609;1842;1501;1151;2966;2095;1707;1309;1717;1212;987;757;823;581;473;363;2097;1603;1375;1135;4212;3219;2763;2281;4789;3661;3142;2593;2770;2117;1817;1499;1329;1015;871;719;87;51;36;22;141;83;59;35;147;86;61;37;65;39;27;17;149;100;79;57;242;163;128;93;253;169;133;97;113;75;59;43;189;133;109;83;308;217;177;135;321;227;185;141;143;101;81;63;303;231;198;163;495;378;324;267;517;395;338;279;228;174;149;123;38;22;16;10;53;31;22;13;51;29;21;13;64;43;34;25;90;61;47;35;87;58;45;33;81;57;46;35;114;81;65;50;109;77;63;48;129;97;83;69;183;139;119;98;175;133;114;93;13;8;5;3;14;9;6;3;11;7;5;3;21;14;11;8;23;15;12;9;17;11;9;7;25;18;15;11;29;20;16;12;21;15;12;9;39;29;25;21;44;33;28;23;33;24;21;17
Sample Size Ratio, R = n? / n??;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
