 ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48
Test Significance Level, ??;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2
1 or 2 Sided Test??;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two
Test Statistic?;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest;FishersExactTest
Power Calculation Method?;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox
Group 1 Proportion, ???;0,15;0,15;0,15;0,15;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,15;0,15;0,15;0,15;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,15;0,15;0,15;0,15;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,15;0,15;0,15;0,15;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,25;0,25;0,25;0,25;0,45;0,45;0,45;0,45;0,65;0,65;0,65;0,65;0,95;0,95;0,95;0,95;0,25;0,25;0,25;0,25;0,45;0,45;0,45;0,45;0,65;0,65;0,65;0,65;0,95;0,95;0,95;0,95;0,25;0,25;0,25;0,25;0,45;0,45;0,45;0,45;0,65;0,65;0,65;0,65;0,95;0,95;0,95;0,95;0,25;0,25;0,25;0,25;0,45;0,45;0,45;0,45;0,65;0,65;0,65;0,65;0,95;0,95;0,95;0,95;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,75;0,75;0,75;0,75;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,75;0,75;0,75;0,75;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,75;0,75;0,75;0,75;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,75;0,75;0,75;0,75;0,59;0,59;0,59;0,59;0,79;0,79;0,79;0,79;0,99;0,99;0,99;0,99;0,59;0,59;0,59;0,59;0,79;0,79;0,79;0,79;0,99;0,99;0,99;0,99;0,59;0,59;0,59;0,59;0,79;0,79;0,79;0,79;0,99;0,99;0,99;0,99;0,59;0,59;0,59;0,59;0,79;0,79;0,79;0,79;0,99;0,99;0,99;0,99
Group 2 Proportion, ???;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,9;0,9;0,9;0,9;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,9;0,9;0,9;0,9;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,9;0,9;0,9;0,9;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,9;0,9;0,9;0,9;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5
Difference between Proportions, D = ?? - ???;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49
Group 1 Sample Size, n??;632;384;282;186;1227;731;528;335;1390;826;596;376;821;494;361;234;415;258;193;132;1060;726;580;432;2088;1416;1124;830;2368;1604;1272;938;1388;945;753;559;686;474;382;288;1340;957;787;612;2649;1882;1541;1191;3006;2134;1746;1348;1756;1252;1027;797;863;620;513;402;2137;1642;1416;1174;4252;3260;2803;2320;4828;3700;3182;2633;2810;2157;1857;1539;1368;1054;910;758;100;64;48;34;154;95;71;48;160;98;74;50;79;51;40;28;162;112;92;70;256;176;141;106;266;182;146;110;126;88;72;56;202;146;121;96;321;230;190;148;334;240;198;154;156;114;94;75;316;244;211;176;508;391;338;280;530;408;352;292;242;187;162;136;46;30;23;16;61;38;30;21;58;38;28;20;72;50;42;32;98;68;55;42;94;66;54;41;88;64;54;43;122;88;73;58;117;85;70;56;136;106;92;76;190;147;127;106;182;141;122;102;16;12;9;7;18;12;10;7;15;10;8;6;24;18;14;12;27;19;16;12;21;15;12;10;30;22;18;14;32;24;20;16;25;18;16;12;44;34;29;24;48;37;32;27;36;28;24;20
Group 2 Sample Size, n??;631;384;283;187;1227;731;529;335;1389;826;595;375;821;495;361;234;415;257;193;131;1061;725;579;433;2089;1417;1124;829;2369;1605;1273;937;1387;945;753;559;687;474;381;288;1339;957;787;613;2649;1882;1541;1191;3006;2134;1747;1349;1756;1251;1027;797;863;621;513;402;2137;1643;1415;1175;4252;3259;2803;2321;4829;3701;3181;2633;2810;2157;1857;1539;1368;1055;911;758;101;63;49;34;154;95;71;48;160;99;73;49;79;51;39;29;162;113;91;70;255;175;141;106;265;183;147;110;125;88;72;55;202;146;121;96;321;230;190;149;334;239;197;155;155;113;95;75;316;244;211;176;509;391;337;281;530;407;351;292;241;187;162;135;46;30;23;17;61;39;29;21;59;37;29;20;72;51;41;32;98;68;55;42;94;65;53;41;89;65;54;43;122;88;73;57;117;85;71;55;137;105;91;77;191;147;127;105;183;141;122;101;17;11;9;7;18;12;9;7;15;10;8;7;25;17;15;11;27;19;15;13;21;15;13;10;29;22;19;15;33;23;20;16;25;19;15;13;43;33;29;25;48;37;32;27;37;28;25;21
Sample Size Ratio, R = n? / n??;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
