 ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48
Test Significance Level, ??;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2
1 or 2 Sided Test??;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two
Test Statistic?;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled;ZTestUnpooled
Power Calculation Method?;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox;NormalApprox
Group 1 Proportion, ???;0,15;0,15;0,15;0,15;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,15;0,15;0,15;0,15;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,15;0,15;0,15;0,15;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,15;0,15;0,15;0,15;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,85;0,85;0,85;0,85;0,95;0,95;0,95;0,95;0,25;0,25;0,25;0,25;0,45;0,45;0,45;0,45;0,65;0,65;0,65;0,65;0,95;0,95;0,95;0,95;0,25;0,25;0,25;0,25;0,45;0,45;0,45;0,45;0,65;0,65;0,65;0,65;0,95;0,95;0,95;0,95;0,25;0,25;0,25;0,25;0,45;0,45;0,45;0,45;0,65;0,65;0,65;0,65;0,95;0,95;0,95;0,95;0,25;0,25;0,25;0,25;0,45;0,45;0,45;0,45;0,65;0,65;0,65;0,65;0,95;0,95;0,95;0,95;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,75;0,75;0,75;0,75;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,75;0,75;0,75;0,75;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,75;0,75;0,75;0,75;0,35;0,35;0,35;0,35;0,55;0,55;0,55;0,55;0,75;0,75;0,75;0,75;0,59;0,59;0,59;0,59;0,79;0,79;0,79;0,79;0,99;0,99;0,99;0,99;0,59;0,59;0,59;0,59;0,79;0,79;0,79;0,79;0,99;0,99;0,99;0,99;0,59;0,59;0,59;0,59;0,79;0,79;0,79;0,79;0,99;0,99;0,99;0,99;0,59;0,59;0,59;0,59;0,79;0,79;0,79;0,79;0,99;0,99;0,99;0,99
Group 2 Proportion, ???;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,9;0,9;0,9;0,9;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,9;0,9;0,9;0,9;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,9;0,9;0,9;0,9;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,9;0,9;0,9;0,9;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,1;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,5;0,5;0,5;0,5
Difference between Proportions, D = ?? - ???;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49
Group 1 Sample Size, n??;589;343;242;146;1184;690;488;294;1346;784;554;334;778;454;320;193;372;217;154;92;1016;683;538;392;2044;1374;1082;788;2324;1562;1230;896;1344;903;711;518;642;432;340;248;1295;914;746;572;2604;1839;1499;1150;2961;2091;1704;1307;1712;1208;985;756;818;578;472;362;2091;1598;1372;1133;4206;3216;2760;2278;4782;3656;3138;2590;2764;2113;1814;1497;1322;1010;868;716;84;49;35;21;138;80;57;34;144;84;60;36;62;36;26;16;144;97;76;56;238;160;126;92;248;167;132;96;108;72;58;42;184;130;106;82;303;214;174;134;316;223;182;140;138;97;79;60;297;227;195;161;489;374;321;265;510;390;335;276;222;170;146;120;35;20;14;9;50;29;20;12;48;28;20;12;60;40;32;23;86;58;46;33;82;55;44;32;76;54;44;34;109;77;63;48;104;74;60;46;122;94;80;66;176;135;116;96;168;129;110;92;10;6;4;3;11;6;4;3;8;4;4;2;16;11;9;6;18;12;10;8;12;8;6;4;21;15;12;10;24;16;14;10;16;12;10;8;34;26;22;18;38;29;25;20;26;20;18;14
Group 2 Sample Size, n??;589;343;243;146;1184;689;487;293;1347;785;555;333;778;453;321;193;373;217;153;93;1017;683;538;392;2044;1374;1082;788;2325;1562;1231;897;1343;903;711;518;643;432;341;248;1295;915;745;571;2604;1839;1499;1149;2961;2091;1705;1307;1711;1209;985;755;819;578;471;361;2091;1599;1373;1133;4205;3215;2760;2278;4783;3657;3139;2591;2764;2113;1814;1497;1322;1011;868;716;83;49;35;21;138;81;57;35;144;84;59;36;63;37;26;16;145;97;77;55;237;160;126;92;248;167;131;96;108;73;57;42;183;129;105;81;303;214;175;134;316;223;182;139;137;97;79;61;297;227;195;161;489;374;321;265;510;390;335;277;222;170;146;121;35;21;15;9;49;29;21;13;47;28;20;12;59;40;31;23;85;57;45;33;82;55;43;32;75;53;43;33;109;77;63;49;105;74;60;46;123;93;81;67;176;135;115;95;169;129;111;91;9;5;4;3;11;7;5;3;8;5;3;2;17;11;9;7;19;13;10;7;13;9;7;5;21;15;12;9;23;17;13;11;17;12;10;8;33;25;22;18;38;29;25;21;27;20;18;15
