 ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Test Significance Level, ??;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05
1 or 2 Sided Test??;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two
Length of Accrual Period, a?;1;5;9;1;5;9;1;5;9;1;5;9;1;5;9;1;5;9
Maximum Length of Followup, f?;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
Group 1 Exponential Parameter, ???;0,022314355;0,022314355;0,022314355;0,160943791;0,160943791;0,160943791;0,022314355;0,022314355;0,022314355;0,160943791;0,160943791;0,160943791;0,022314355;0,022314355;0,022314355;0,160943791;0,160943791;0,160943791
Group 2 Exponential Parameter, ???;0,033454805;0,033454805;0,033454805;0,241295039;0,241295039;0,241295039;0,04462871;0,04462871;0,04462871;0,321887582;0,321887582;0,321887582;0,08925742;0,08925742;0,08925742;0,643775164;0,643775164;0,643775164
Hazard Ratio, h=??/???;0,667;0,667;0,667;0,667;0,667;0,667;0,5;0,5;0,5;0,5;0,5;0,5;0,25;0,25;0,25;0,25;0,25;0,25
Power (%)?;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90
Sample Size per Group, n?;571;707;951;154;171;211;178;220;295;51;56;69;39;47;63;13;14;16
Total Number of Events Required, E?;256;256;256;256;256;256;87;87;87;87;87;87;22;22;22;22;22;22
