 ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80
Test Significance Level, ??;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2
1 or 2 Sided Test??;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two
Event Calculation Method?;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless;Lawless
Accrual Period, a?;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Minimum Follow-up Period, f?;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Exponential Dropout, d?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Historic Control Median Survival, m??;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;0,903089987;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;1,727149927;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;4,070746347;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044;19,73644044
New Group Median Survival, m??;9,03089987;9,03089987;9,03089987;9,03089987;1,806179974;1,806179974;1,806179974;1,806179974;1,290128553;1,290128553;1,290128553;1,290128553;1,003433319;1,003433319;1,003433319;1,003433319;0,912212108;0,912212108;0,912212108;0,912212108;9,03089987;9,03089987;9,03089987;9,03089987;1,806179974;1,806179974;1,806179974;1,806179974;1,290128553;1,290128553;1,290128553;1,290128553;1,003433319;1,003433319;1,003433319;1,003433319;0,912212108;0,912212108;0,912212108;0,912212108;9,03089987;9,03089987;9,03089987;9,03089987;1,806179974;1,806179974;1,806179974;1,806179974;1,290128553;1,290128553;1,290128553;1,290128553;1,003433319;1,003433319;1,003433319;1,003433319;0,912212108;0,912212108;0,912212108;0,912212108;9,03089987;9,03089987;9,03089987;9,03089987;1,806179974;1,806179974;1,806179974;1,806179974;1,290128553;1,290128553;1,290128553;1,290128553;1,003433319;1,003433319;1,003433319;1,003433319;0,912212108;0,912212108;0,912212108;0,912212108;17,27149928;17,27149928;17,27149928;17,27149928;3,454299855;3,454299855;3,454299855;3,454299855;2,467357039;2,467357039;2,467357039;2,467357039;1,919055475;1,919055475;1,919055475;1,919055475;1,744595886;1,744595886;1,744595886;1,744595886;17,27149928;17,27149928;17,27149928;17,27149928;3,454299855;3,454299855;3,454299855;3,454299855;2,467357039;2,467357039;2,467357039;2,467357039;1,919055475;1,919055475;1,919055475;1,919055475;1,744595886;1,744595886;1,744595886;1,744595886;17,27149928;17,27149928;17,27149928;17,27149928;3,454299855;3,454299855;3,454299855;3,454299855;2,467357039;2,467357039;2,467357039;2,467357039;1,919055475;1,919055475;1,919055475;1,919055475;1,744595886;1,744595886;1,744595886;1,744595886;17,27149928;17,27149928;17,27149928;17,27149928;3,454299855;3,454299855;3,454299855;3,454299855;2,467357039;2,467357039;2,467357039;2,467357039;1,919055475;1,919055475;1,919055475;1,919055475;1,744595886;1,744595886;1,744595886;1,744595886;40,70746347;40,70746347;40,70746347;40,70746347;8,141492693;8,141492693;8,141492693;8,141492693;5,815351924;5,815351924;5,815351924;5,815351924;4,523051496;4,523051496;4,523051496;4,523051496;4,111864997;4,111864997;4,111864997;4,111864997;40,70746347;40,70746347;40,70746347;40,70746347;8,141492693;8,141492693;8,141492693;8,141492693;5,815351924;5,815351924;5,815351924;5,815351924;4,523051496;4,523051496;4,523051496;4,523051496;4,111864997;4,111864997;4,111864997;4,111864997;40,70746347;40,70746347;40,70746347;40,70746347;8,141492693;8,141492693;8,141492693;8,141492693;5,815351924;5,815351924;5,815351924;5,815351924;4,523051496;4,523051496;4,523051496;4,523051496;4,111864997;4,111864997;4,111864997;4,111864997;40,70746347;40,70746347;40,70746347;40,70746347;8,141492693;8,141492693;8,141492693;8,141492693;5,815351924;5,815351924;5,815351924;5,815351924;4,523051496;4,523051496;4,523051496;4,523051496;4,111864997;4,111864997;4,111864997;4,111864997;197,3644044;197,3644044;197,3644044;197,3644044;39,47288087;39,47288087;39,47288087;39,47288087;28,19491491;28,19491491;28,19491491;28,19491491;21,92937826;21,92937826;21,92937826;21,92937826;19,93579842;19,93579842;19,93579842;19,93579842;197,3644044;197,3644044;197,3644044;197,3644044;39,47288087;39,47288087;39,47288087;39,47288087;28,19491491;28,19491491;28,19491491;28,19491491;21,92937826;21,92937826;21,92937826;21,92937826;19,93579842;19,93579842;19,93579842;19,93579842;197,3644044;197,3644044;197,3644044;197,3644044;39,47288087;39,47288087;39,47288087;39,47288087;28,19491491;28,19491491;28,19491491;28,19491491;21,92937826;21,92937826;21,92937826;21,92937826;19,93579842;19,93579842;19,93579842;19,93579842;197,3644044;197,3644044;197,3644044;197,3644044;39,47288087;39,47288087;39,47288087;39,47288087;28,19491491;28,19491491;28,19491491;28,19491491;21,92937826;21,92937826;21,92937826;21,92937826;19,93579842;19,93579842;19,93579842;19,93579842
Hazard Ratio, h=??/???;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99
