alpha,power,hr,surv_t
0.01,0.51,0.1,0.1
0.05,0.51,0.1,0.1
0.1,0.51,0.1,0.1
0.2,0.51,0.1,0.1
0.49,0.51,0.1,0.1
0.01,0.8,0.1,0.1
0.05,0.8,0.1,0.1
0.1,0.8,0.1,0.1
0.2,0.8,0.1,0.1
0.49,0.8,0.1,0.1
0.01,0.9,0.1,0.1
0.05,0.9,0.1,0.1
0.1,0.9,0.1,0.1
0.2,0.9,0.1,0.1
0.49,0.9,0.1,0.1
0.01,0.99,0.1,0.1
0.05,0.99,0.1,0.1
0.1,0.99,0.1,0.1
0.2,0.99,0.1,0.1
0.49,0.99,0.1,0.1
0.01,0.51,0.5,0.1
0.05,0.51,0.5,0.1
0.1,0.51,0.5,0.1
0.2,0.51,0.5,0.1
0.49,0.51,0.5,0.1
0.01,0.8,0.5,0.1
0.05,0.8,0.5,0.1
0.1,0.8,0.5,0.1
0.2,0.8,0.5,0.1
0.49,0.8,0.5,0.1
0.01,0.9,0.5,0.1
0.05,0.9,0.5,0.1
0.1,0.9,0.5,0.1
0.2,0.9,0.5,0.1
0.49,0.9,0.5,0.1
0.01,0.99,0.5,0.1
0.05,0.99,0.5,0.1
0.1,0.99,0.5,0.1
0.2,0.99,0.5,0.1
0.49,0.99,0.5,0.1
0.01,0.51,0.7,0.1
0.05,0.51,0.7,0.1
0.1,0.51,0.7,0.1
0.2,0.51,0.7,0.1
0.49,0.51,0.7,0.1
0.01,0.8,0.7,0.1
0.05,0.8,0.7,0.1
0.1,0.8,0.7,0.1
0.2,0.8,0.7,0.1
0.49,0.8,0.7,0.1
0.01,0.9,0.7,0.1
0.05,0.9,0.7,0.1
0.1,0.9,0.7,0.1
0.2,0.9,0.7,0.1
0.49,0.9,0.7,0.1
0.01,0.99,0.7,0.1
0.05,0.99,0.7,0.1
0.1,0.99,0.7,0.1
0.2,0.99,0.7,0.1
0.49,0.99,0.7,0.1
0.01,0.51,0.9,0.1
0.05,0.51,0.9,0.1
0.1,0.51,0.9,0.1
0.2,0.51,0.9,0.1
0.49,0.51,0.9,0.1
0.01,0.8,0.9,0.1
0.05,0.8,0.9,0.1
0.1,0.8,0.9,0.1
0.2,0.8,0.9,0.1
0.49,0.8,0.9,0.1
0.01,0.9,0.9,0.1
0.05,0.9,0.9,0.1
0.1,0.9,0.9,0.1
0.2,0.9,0.9,0.1
0.49,0.9,0.9,0.1
0.01,0.99,0.9,0.1
0.05,0.99,0.9,0.1
0.1,0.99,0.9,0.1
0.2,0.99,0.9,0.1
0.49,0.99,0.9,0.1
0.01,0.51,0.99,0.1
0.05,0.51,0.99,0.1
0.1,0.51,0.99,0.1
0.2,0.51,0.99,0.1
0.49,0.51,0.99,0.1
0.01,0.8,0.99,0.1
0.05,0.8,0.99,0.1
0.1,0.8,0.99,0.1
0.2,0.8,0.99,0.1
0.49,0.8,0.99,0.1
0.01,0.9,0.99,0.1
0.05,0.9,0.99,0.1
0.1,0.9,0.99,0.1
0.2,0.9,0.99,0.1
0.49,0.9,0.99,0.1
0.01,0.99,0.99,0.1
0.05,0.99,0.99,0.1
0.1,0.99,0.99,0.1
0.2,0.99,0.99,0.1
0.49,0.99,0.99,0.1
0.01,0.51,0.1,0.3
0.05,0.51,0.1,0.3
0.1,0.51,0.1,0.3
0.2,0.51,0.1,0.3
0.49,0.51,0.1,0.3
0.01,0.8,0.1,0.3
0.05,0.8,0.1,0.3
0.1,0.8,0.1,0.3
0.2,0.8,0.1,0.3
0.49,0.8,0.1,0.3
0.01,0.9,0.1,0.3
0.05,0.9,0.1,0.3
0.1,0.9,0.1,0.3
0.2,0.9,0.1,0.3
0.49,0.9,0.1,0.3
0.01,0.99,0.1,0.3
0.05,0.99,0.1,0.3
0.1,0.99,0.1,0.3
0.2,0.99,0.1,0.3
0.49,0.99,0.1,0.3
0.01,0.51,0.5,0.3
0.05,0.51,0.5,0.3
0.1,0.51,0.5,0.3
0.2,0.51,0.5,0.3
0.49,0.51,0.5,0.3
0.01,0.8,0.5,0.3
0.05,0.8,0.5,0.3
0.1,0.8,0.5,0.3
0.2,0.8,0.5,0.3
0.49,0.8,0.5,0.3
0.01,0.9,0.5,0.3
0.05,0.9,0.5,0.3
0.1,0.9,0.5,0.3
0.2,0.9,0.5,0.3
0.49,0.9,0.5,0.3
0.01,0.99,0.5,0.3
0.05,0.99,0.5,0.3
0.1,0.99,0.5,0.3
0.2,0.99,0.5,0.3
0.49,0.99,0.5,0.3
0.01,0.51,0.7,0.3
0.05,0.51,0.7,0.3
0.1,0.51,0.7,0.3
0.2,0.51,0.7,0.3
0.49,0.51,0.7,0.3
0.01,0.8,0.7,0.3
0.05,0.8,0.7,0.3
0.1,0.8,0.7,0.3
0.2,0.8,0.7,0.3
0.49,0.8,0.7,0.3
0.01,0.9,0.7,0.3
0.05,0.9,0.7,0.3
0.1,0.9,0.7,0.3
0.2,0.9,0.7,0.3
0.49,0.9,0.7,0.3
0.01,0.99,0.7,0.3
0.05,0.99,0.7,0.3
0.1,0.99,0.7,0.3
0.2,0.99,0.7,0.3
0.49,0.99,0.7,0.3
0.01,0.51,0.9,0.3
0.05,0.51,0.9,0.3
0.1,0.51,0.9,0.3
0.2,0.51,0.9,0.3
0.49,0.51,0.9,0.3
0.01,0.8,0.9,0.3
0.05,0.8,0.9,0.3
0.1,0.8,0.9,0.3
0.2,0.8,0.9,0.3
0.49,0.8,0.9,0.3
0.01,0.9,0.9,0.3
0.05,0.9,0.9,0.3
0.1,0.9,0.9,0.3
0.2,0.9,0.9,0.3
0.49,0.9,0.9,0.3
0.01,0.99,0.9,0.3
0.05,0.99,0.9,0.3
0.1,0.99,0.9,0.3
0.2,0.99,0.9,0.3
0.49,0.99,0.9,0.3
0.01,0.51,0.99,0.3
0.05,0.51,0.99,0.3
0.1,0.51,0.99,0.3
0.2,0.51,0.99,0.3
0.49,0.51,0.99,0.3
0.01,0.8,0.99,0.3
0.05,0.8,0.99,0.3
0.1,0.8,0.99,0.3
0.2,0.8,0.99,0.3
0.49,0.8,0.99,0.3
0.01,0.9,0.99,0.3
0.05,0.9,0.99,0.3
0.1,0.9,0.99,0.3
0.2,0.9,0.99,0.3
0.49,0.9,0.99,0.3
0.01,0.99,0.99,0.3
0.05,0.99,0.99,0.3
0.1,0.99,0.99,0.3
0.2,0.99,0.99,0.3
0.49,0.99,0.99,0.3
0.01,0.51,0.1,0.6
0.05,0.51,0.1,0.6
0.1,0.51,0.1,0.6
0.2,0.51,0.1,0.6
0.49,0.51,0.1,0.6
0.01,0.8,0.1,0.6
0.05,0.8,0.1,0.6
0.1,0.8,0.1,0.6
0.2,0.8,0.1,0.6
0.49,0.8,0.1,0.6
0.01,0.9,0.1,0.6
0.05,0.9,0.1,0.6
0.1,0.9,0.1,0.6
0.2,0.9,0.1,0.6
0.49,0.9,0.1,0.6
0.01,0.99,0.1,0.6
0.05,0.99,0.1,0.6
0.1,0.99,0.1,0.6
0.2,0.99,0.1,0.6
0.49,0.99,0.1,0.6
0.01,0.51,0.5,0.6
0.05,0.51,0.5,0.6
0.1,0.51,0.5,0.6
0.2,0.51,0.5,0.6
0.49,0.51,0.5,0.6
0.01,0.8,0.5,0.6
0.05,0.8,0.5,0.6
0.1,0.8,0.5,0.6
0.2,0.8,0.5,0.6
0.49,0.8,0.5,0.6
0.01,0.9,0.5,0.6
0.05,0.9,0.5,0.6
0.1,0.9,0.5,0.6
0.2,0.9,0.5,0.6
0.49,0.9,0.5,0.6
0.01,0.99,0.5,0.6
0.05,0.99,0.5,0.6
0.1,0.99,0.5,0.6
0.2,0.99,0.5,0.6
0.49,0.99,0.5,0.6
0.01,0.51,0.7,0.6
0.05,0.51,0.7,0.6
0.1,0.51,0.7,0.6
0.2,0.51,0.7,0.6
0.49,0.51,0.7,0.6
0.01,0.8,0.7,0.6
0.05,0.8,0.7,0.6
0.1,0.8,0.7,0.6
0.2,0.8,0.7,0.6
0.49,0.8,0.7,0.6
0.01,0.9,0.7,0.6
0.05,0.9,0.7,0.6
0.1,0.9,0.7,0.6
0.2,0.9,0.7,0.6
0.49,0.9,0.7,0.6
0.01,0.99,0.7,0.6
0.05,0.99,0.7,0.6
0.1,0.99,0.7,0.6
0.2,0.99,0.7,0.6
0.49,0.99,0.7,0.6
0.01,0.51,0.9,0.6
0.05,0.51,0.9,0.6
0.1,0.51,0.9,0.6
0.2,0.51,0.9,0.6
0.49,0.51,0.9,0.6
0.01,0.8,0.9,0.6
0.05,0.8,0.9,0.6
0.1,0.8,0.9,0.6
0.2,0.8,0.9,0.6
0.49,0.8,0.9,0.6
0.01,0.9,0.9,0.6
0.05,0.9,0.9,0.6
0.1,0.9,0.9,0.6
0.2,0.9,0.9,0.6
0.49,0.9,0.9,0.6
0.01,0.99,0.9,0.6
0.05,0.99,0.9,0.6
0.1,0.99,0.9,0.6
0.2,0.99,0.9,0.6
0.49,0.99,0.9,0.6
0.01,0.51,0.99,0.6
0.05,0.51,0.99,0.6
0.1,0.51,0.99,0.6
0.2,0.51,0.99,0.6
0.49,0.51,0.99,0.6
0.01,0.8,0.99,0.6
0.05,0.8,0.99,0.6
0.1,0.8,0.99,0.6
0.2,0.8,0.99,0.6
0.49,0.8,0.99,0.6
0.01,0.9,0.99,0.6
0.05,0.9,0.99,0.6
0.1,0.9,0.99,0.6
0.2,0.9,0.99,0.6
0.49,0.9,0.99,0.6
0.01,0.99,0.99,0.6
0.05,0.99,0.99,0.6
0.1,0.99,0.99,0.6
0.2,0.99,0.99,0.6
0.49,0.99,0.99,0.6
0.01,0.51,0.1,0.9
0.05,0.51,0.1,0.9
0.1,0.51,0.1,0.9
0.2,0.51,0.1,0.9
0.49,0.51,0.1,0.9
0.01,0.8,0.1,0.9
0.05,0.8,0.1,0.9
0.1,0.8,0.1,0.9
0.2,0.8,0.1,0.9
0.49,0.8,0.1,0.9
0.01,0.9,0.1,0.9
0.05,0.9,0.1,0.9
0.1,0.9,0.1,0.9
