Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,Expected SS (H0),Expected SS (H1),Maximum Events,Exp. Events (H0),Exp. Events (H1),Comm. Accr. (Dur.),Exp. Accrual Duration (H0),Exp. Accrual Duration (H1),Hazard Ratio (Alt.),Study Duration,Exp. Study Duration (H0),Exp. Study Duration (H1),Var (Log HR),No. of Accrual Periods,
1,Des1,Superiority,1,2-Sided,0.05,0.90079240153277,1,1593,1593,1593,257,257,257,1,1,1,0.667,10,8.38549148035099,9.9938143550645,Null,1,
2,Des2,Superiority,1,2-Sided,0.05,0.90079240153277,1,1984,1984,1984,257,257,257,5,5,5,0.667,10,8.74027848243713,9.99974727630615,Null,1,
3,Des3,Superiority,1,2-Sided,0.05,0.90079240153277,1,2679,2679,2679,257,257,257,9,9,9,0.667,10,9.09479132194519,9.99829149408242,Null,1,
4,Des4,Superiority,1,2-Sided,0.05,0.90079240153277,1,362,362,362,257,257,257,1,1,1,0.667,10,8.19685182274801,9.96904686064113,Null,1,
5,Des5,Superiority,1,2-Sided,0.05,0.90079240153277,1,415,415,415,257,257,257,5,5,5,0.667,10,8.66687424957036,9.98142484389518,Null,1,
6,Des6,Superiority,1,2-Sided,0.05,0.90079240153277,1,528,528,528,257,257,257,9,9,9,0.667,10,9.17815661430359,9.99290657043457,Null,1,
7,Des7,Superiority,1,2-Sided,0.05,0.90168023506293,1,604,604,604,88,88,88,1,1,1,0.5,10,7.55769957024768,9.9935414493084,Null,1,
8,Des8,Superiority,1,2-Sided,0.05,0.90168023506293,1,753,753,753,88,88,88,5,5,5,0.5,10,8.09266749126891,9.99702215194702,Null,1,
9,Des9,Superiority,1,2-Sided,0.05,0.90168023506293,1,1017,974.336135387421,1017,88,88,88,9,8.62244367599487,9,0.5,10,8.62244367599487,9.99748992919922,Null,1,
10,Des10,Superiority,1,2-Sided,0.05,0.90168023506293,1,134,134,134,88,88,88,1,1,1,0.5,10,7.14999905824101,9.94665972627888,Null,1,
11,Des11,Superiority,1,2-Sided,0.05,0.90168023506293,1,155,155,155,88,88,88,5,5,5,0.5,10,7.87809097471381,9.92839104804943,Null,1,
12,Des12,Superiority,1,2-Sided,0.05,0.90168023506293,1,197,190.485192775726,197,88,88,88,9,8.70236921310425,9,0.5,10,8.70236921310425,9.99653720855713,Null,1,
13,Des13,Superiority,1,2-Sided,0.05,0.90168023506293,1,182,182,182,22,22,22,1,1,1,0.25,10,6.27446687221527,9.96296361639679,Null,1,
14,Des14,Superiority,1,2-Sided,0.05,0.90168023506293,1,227,227,227,22,22,22,5,5,5,0.25,10,7.09160327911377,9.96795895770219,Null,1,
15,Des15,Superiority,1,2-Sided,0.05,0.90168023506293,1,306,266.470569133759,306,22,22,22,9,7.83736968040466,9,0.25,10,7.83736968040466,9.98677825927734,Null,1,
16,Des16,Superiority,1,2-Sided,0.05,0.90168023506293,1,40,40,40,22,22,22,1,1,1,0.25,10,5.46810716511231,9.98989417092662,Null,1,
17,Des17,Superiority,1,2-Sided,0.05,0.90168023506293,1,47,47,47,22,22,22,5,5,5,0.25,10,6.5890645980835,9.80203628540039,Null,1,
18,Des18,Superiority,1,2-Sided,0.05,0.90168023506293,1,60,51.4645099639893,60,22,22,22,9,7.71967649459839,9,0.25,10,7.71967649459839,9.89443216853942,Null,1,
