Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,Expected SS (H0),Expected SS (H1),Maximum Events,Exp. Events (H0),Exp. Events (H1),Comm. Accr. (Dur.),Exp. Accrual Duration (H0),Exp. Accrual Duration (H1),Hazard Ratio (Alt.),Study Duration,Exp. Study Duration (H0),Exp. Study Duration (H1),Var (Log HR),No. of Accrual Periods,
19,Des19,Superiority,1,2-Sided,0.05,0.900867135662666,1,1648,1648,1648,266,266,266,1,1,1,0.667,10,8.38959767021592,9.99877871688533,Alternative,1,
20,Des20,Superiority,1,2-Sided,0.05,0.900544146834743,1,2054,2054,2054,266,266,266,5,5,5,0.667,10,8.73858572140307,9.99770879745483,Alternative,1,
21,Des21,Superiority,1,2-Sided,0.05,0.900338514326083,1,2772,2772,2772,266,266,266,9,9,9,0.667,10,9.09619688987732,9.99998760223389,Alternative,1,
22,Des22,Superiority,1,2-Sided,0.05,0.900074477798799,1,365,365,365,259,259,259,1,1,1,0.667,10,8.18924167585422,9.95943452700897,Alternative,1,
23,Des23,Superiority,1,2-Sided,0.05,0.900169637608862,1,420,420,420,260,260,260,5,5,5,0.667,10,8.66313235635971,9.97675659488095,Alternative,1,
24,Des24,Superiority,1,2-Sided,0.05,0.900373083454298,1,536,536,536,261,261,261,9,9,9,0.667,10,9.18054897255161,9.99585485458374,Alternative,1,
25,Des25,Superiority,1,2-Sided,0.05,0.900608174103727,1,666,666,666,97,97,97,1,1,1,0.5,10,7.55509239435196,9.99000012874603,Alternative,1,
26,Des26,Superiority,1,2-Sided,0.05,0.902679736777771,1,839,839,839,98,98,98,5,5,5,0.5,10,8.08961749076843,9.99290227890015,Alternative,1,
27,Des27,Superiority,1,2-Sided,0.05,0.902164280389347,1,1133,1085.25591230392,1133,98,98,98,9,8.62074422836304,9,0.5,10,8.62074422836304,9.99531412124634,Alternative,1,
28,Des28,Superiority,1,2-Sided,0.05,0.900897068602306,1,139,139,139,91,91,91,1,1,1,0.5,10,7.11318186321919,9.89084315299988,Alternative,1,
29,Des29,Superiority,1,2-Sided,0.05,0.901114085725006,1,162,162,162,92,92,92,5,5,5,0.5,10,7.88037621461513,9.93175989935935,Alternative,1,
30,Des30,Superiority,1,2-Sided,0.05,0.901745214371817,1,209,201.609689712524,209,93,93,93,9,8.6817569732666,9,0.5,10,8.6817569732666,9.96904993057251,Alternative,1,
31,Des31,Superiority,1,2-Sided,0.05,0.903049041695679,1,273,273,273,33,33,33,1,1,1,0.25,10,6.27446687221527,9.96296361639679,Alternative,1,
32,Des32,Superiority,1,2-Sided,0.05,0.900768910313124,1,340,340,340,33,33,33,5,5,5,0.25,10,7.09867715835571,9.97971653938293,Alternative,1,
33,Des33,Superiority,1,2-Sided,0.05,0.907647897582665,1,472,411.433645248413,472,34,34,34,9,7.84513306617737,9,0.25,10,7.84513306617737,9.99777317047119,Alternative,1,
34,Des34,Superiority,1,2-Sided,0.05,0.903870124549223,1,50,50,50,27,27,27,1,1,1,0.25,10,5.33154354663026,9.67505235666124,Alternative,1,
35,Des35,Superiority,1,2-Sided,0.05,0.904127876279564,1,59,59,59,28,28,28,5,5,5,0.25,10,6.66535377502441,9.96364596971944,Alternative,1,
36,Des36,Superiority,1,2-Sided,0.05,0.906209400373156,1,78,67.4649982452393,78,29,29,29,9,7.78442287445068,9,0.25,10,7.78442287445068,9.99161911010742,Alternative,1,
