Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,Expected SS (H0),Expected SS (H1),Maximum Events,Exp. Events (H0),Exp. Events (H1),Comm. Accr. (Dur.),Exp. Accrual Duration (H0),Exp. Accrual Duration (H1),Hazard Ratio (Alt.),Study Duration,Exp. Study Duration (H0),Exp. Study Duration (H1),Var (Log HR),No. of Accrual Periods,
97,Des169,Superiority,1,2-Sided,0.01,0.921078750793399,1,20,19.7967338562012,20,12,12,12,3,2.96951007843018,3,0.1,6,2.96951007843018,5.44724961368411,Null,1,
98,Des170,Superiority,1,2-Sided,0.01,0.921078750793399,1,25,25,25,12,12,12,3,3,3,0.1,6,3.2781400680542,5.71894481759045,Null,1,
99,Des171,Superiority,1,2-Sided,0.01,0.921078750793399,1,40,40,40,12,12,12,3,3,3,0.1,6,3.65840944441516,5.96008590689507,Null,1,
100,Des172,Superiority,1,2-Sided,0.01,0.921078750793399,1,149,149,149,12,12,12,3,3,3,0.1,6,3.90397024154663,5.98829984664917,Null,1,
101,Des173,Superiority,1,2-Sided,0.01,0.900332917808757,1,140,140,140,124,124,124,3,3,3,0.5,6,4.60209540919459,5.98367508078075,Null,1,
102,Des174,Superiority,1,2-Sided,0.01,0.900332917808757,1,176,176,176,124,124,124,3,3,3,0.5,6,4.68675863882527,5.96752172940614,Null,1,
103,Des175,Superiority,1,2-Sided,0.01,0.900332917808757,1,293,293,293,124,124,124,3,3,3,0.5,6,4.79538603268566,5.99876689910889,Null,1,
104,Des176,Superiority,1,2-Sided,0.01,0.900332917808757,1,1119,1119,1119,124,124,124,3,3,3,0.5,6,4.8573431968689,5.99922466351472,Null,1,
105,Des177,Superiority,1,2-Sided,0.01,0.900113767478839,1,503,503,503,468,468,468,3,3,3,0.7,6,5.24856376647949,5.98815542135522,Null,1,
106,Des178,Superiority,1,2-Sided,0.01,0.900113767478839,1,610,610,610,468,468,468,3,3,3,0.7,6,5.28077098772428,5.99838781510016,Null,1,
107,Des179,Superiority,1,2-Sided,0.01,0.900113767478839,1,994,994,994,468,468,468,3,3,3,0.7,6,5.30140113830566,5.99644947052002,Null,1,
108,Des180,Superiority,1,2-Sided,0.01,0.900113767478839,1,3740,3740,3740,468,468,468,3,3,3,0.7,6,5.31964445114136,5.99906301498413,Null,1,
109,Des181,Superiority,1,2-Sided,0.01,0.900029261619167,1,5622,5622,5622,5362,5362,5362,3,3,3,0.9,6,5.78080725973996,5.9953937921891,Null,1,
110,Des182,Superiority,1,2-Sided,0.01,0.900029261619167,1,6624,6624,6624,5362,5362,5362,3,3,3,0.9,6,5.78003660187875,5.99996566776827,Null,1,
111,Des183,Superiority,1,2-Sided,0.01,0.900029261619167,1,10473,10473,10473,5362,5362,5362,3,3,3,0.9,6,5.77692461013794,5.99995851520134,Null,1,
112,Des184,Superiority,1,2-Sided,0.01,0.900029261619167,1,38569,38569,38569,5362,5362,5362,3,3,3,0.9,6,5.77533552614113,5.99996423721313,Null,1,
113,Des185,Superiority,1,2-Sided,0.01,0.900000176299709,1,613584,613584,613584,589229,589229,589229,3,3,3,0.99,6,5.97991001165414,5.99991989166301,Null,1,
114,Des186,Superiority,1,2-Sided,0.01,0.900000176299709,1,715003,715003,715003,589229,589229,589229,3,3,3,0.99,6,5.97887710783289,6.00000286102295,Null,1,
115,Des187,Superiority,1,2-Sided,0.01,0.900000176299709,1,1115086,1115086,1115086,589229,589229,589229,3,3,3,0.99,6,5.97807741165161,5.99998998641968,Null,1,
116,Des188,Superiority,1,2-Sided,0.01,0.900000176299709,1,4060331,4060331,4060331,589229,589229,589229,3,3,3,0.99,6,5.97762109982796,5.99999713897432,Null,1,
117,Des189,Superiority,1,2-Sided,0.05,0.90257832226898,1,13,13,13,8,8,8,3,3,3,0.1,6,3.02099990844727,5.76505060654611,Null,1,
118,Des190,Superiority,1,2-Sided,0.05,0.90257832226898,1,17,17,17,8,8,8,3,3,3,0.1,6,3.23344373703003,5.55526256561279,Null,1,
119,Des191,Superiority,1,2-Sided,0.05,0.90257832226898,1,27,27,27,8,8,8,3,3,3,0.1,6,3.62741947174072,5.88361644744873,Null,1,
120,Des192,Superiority,1,2-Sided,0.05,0.90257832226898,1,100,100,100,8,8,8,3,3,3,0.1,6,3.88734912872314,5.9562292098999,Null,1,
121,Des193,Superiority,1,2-Sided,0.05,0.90168023506293,1,100,100,100,88,88,88,3,3,3,0.5,6,4.53852939605713,5.87558042715091,Null,1,
122,Des194,Superiority,1,2-Sided,0.05,0.90168023506293,1,125,125,125,88,88,88,3,3,3,0.5,6,4.68216241422397,5.96044639544289,Null,1,
123,Des195,Superiority,1,2-Sided,0.05,0.90168023506293,1,208,208,208,88,88,88,3,3,3,0.5,6,4.79405164718628,5.99686861336295,Null,1,
124,Des196,Superiority,1,2-Sided,0.05,0.90168023506293,1,795,795,795,88,88,88,3,3,3,0.5,6,4.85345506668091,5.99397754669189,Null,1,
125,Des197,Superiority,1,2-Sided,0.05,0.900534386965306,1,356,356,356,331,331,331,3,3,3,0.7,6,5.2365961585383,5.97291196376854,Null,1,
126,Des198,Superiority,1,2-Sided,0.05,0.900534386965306,1,432,432,432,331,331,331,3,3,3,0.7,6,5.26998710632324,5.98511981964111,Null,1,
127,Des199,Superiority,1,2-Sided,0.05,0.900534386965306,1,703,703,703,331,331,331,3,3,3,0.7,6,5.30156345217847,5.99664258956909,Null,1,
128,Des200,Superiority,1,2-Sided,0.05,0.900534386965306,1,2645,2645,2645,331,331,331,3,3,3,0.7,6,5.31990974434393,5.99937844276428,Null,1,
129,Des201,Superiority,1,2-Sided,0.05,0.900062222751739,1,3970,3970,3970,3787,3787,3787,3,3,3,0.9,6,5.78507423400879,5.99991989142836,Null,1,
130,Des202,Superiority,1,2-Sided,0.05,0.900062222751739,1,4679,4679,4679,3787,3787,3787,3,3,3,0.9,6,5.77847141555321,5.99831200125118,Null,1,
131,Des203,Superiority,1,2-Sided,0.05,0.900062222751739,1,7397,7397,7397,3787,3787,3787,3,3,3,0.9,6,5.77669286727905,5.99971961975098,Null,1,
132,Des204,Superiority,1,2-Sided,0.05,0.900062222751739,1,27240,27240,27240,3787,3787,3787,3,3,3,0.9,6,5.77533552614113,5.99995851520134,Null,1,
133,Des205,Superiority,1,2-Sided,0.05,0.900000470731302,1,433297,433297,433297,416098,416098,416098,3,3,3,0.99,6,5.97989860577218,5.99990844748936,Null,1,
134,Des206,Superiority,1,2-Sided,0.05,0.900000470731302,1,504917,504917,504917,416098,416098,416098,3,3,3,0.99,6,5.97885706056331,5.99998569488798,Null,1,
135,Des207,Superiority,1,2-Sided,0.05,0.900000470731302,1,787445,787445,787445,416098,416098,416098,3,3,3,0.99,6,5.97807171051272,5.99998426438333,Null,1,
136,Des208,Superiority,1,2-Sided,0.05,0.900000470731302,1,2867299,2867299,2867299,416098,416098,416098,3,3,3,0.99,6,5.97762109982796,5.99999713897432,Null,1,
137,Des209,Superiority,1,2-Sided,0.1,0.919421253827089,1,12,11.6546745300293,12,7,7,7,3,2.91366863250732,3,0.1,6,2.91366863250732,5.14189277467949,Null,1,
138,Des210,Superiority,1,2-Sided,0.1,0.919421253827089,1,15,15,15,7,7,7,3,3,3,0.1,6,3.21505451202393,5.48933936181584,Null,1,
139,Des211,Superiority,1,2-Sided,0.1,0.919421253827089,1,24,24,24,7,7,7,3,3,3,0.1,6,3.58890811070296,5.78920698165894,Null,1,
140,Des212,Superiority,1,2-Sided,0.1,0.919421253827089,1,87,87,87,7,7,7,3,3,3,0.1,6,3.90157985687256,5.98369073867798,Null,1,
141,Des213,Superiority,1,2-Sided,0.1,0.902500877414367,1,82,82,82,72,72,72,3,3,3,0.5,6,4.51751373527713,5.83996597292753,Null,1,
