Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,Expected SS (H0),Expected SS (H1),Maximum Events,Exp. Events (H0),Exp. Events (H1),Comm. Accr. (Dur.),Exp. Accrual Duration (H0),Exp. Accrual Duration (H1),Hazard Ratio (Alt.),Study Duration,Exp. Study Duration (H0),Exp. Study Duration (H1),Var (Log HR),No. of Accrual Periods,
1,Des1,Superiority,1,2-Sided,0.01,0.810041255319141,1,26,17.9980044364929,25.4426336288452,9,9,9,3,2.07669281959534,2.93568849563599,0.1,3,2.07669281959534,2.93568849563599,Null,1,
2,Des2,Superiority,1,2-Sided,0.01,0.810041255319141,1,38,27.252179145813,37.8708872795105,9,9,9,3,2.15148782730103,2.98980689048767,0.1,3,2.15148782730103,2.98980689048767,Null,1,
3,Des3,Superiority,1,2-Sided,0.01,0.810041255319141,1,75,54.5913755893707,74.6548891067505,9,9,9,3,2.18365502357483,2.98619556427002,0.1,3,2.18365502357483,2.98619556427002,Null,1,
4,Des4,Superiority,1,2-Sided,0.01,0.810041255319141,1,321,237.218796730042,320.847011804581,9,9,9,3,2.21699810028076,2.99857020378113,0.1,3,2.21699810028076,2.99857020378113,Null,1,
5,Des5,Superiority,1,2-Sided,0.01,0.803744963381414,1,194,171.210907459259,193.39843082428,98,98,98,3,2.64759135246277,2.99069738388062,0.5,3,2.64759135246277,2.99069738388062,Null,1,
6,Des6,Superiority,1,2-Sided,0.01,0.803744963381414,1,294,256.921569898782,293.842566640046,98,98,98,3,2.62164867243655,2.99839353714333,0.5,3,2.62164867243655,2.99839353714333,Null,1,
7,Des7,Superiority,1,2-Sided,0.01,0.803744963381414,1,587,509.623014809131,586.486377239227,98,98,98,3,2.60454692406711,2.99737501144409,0.5,3,2.60454692406711,2.99737501144409,Null,1,
8,Des8,Superiority,1,2-Sided,0.01,0.803744963381414,1,2554,2212.87694692612,2553.67788076401,98,98,98,3,2.59930729866028,2.99962162971497,0.5,3,2.59930729866028,2.99962162971497,Null,1,
9,Des9,Superiority,1,2-Sided,0.01,0.801021781458084,1,662,622.520891189575,661.71905708313,368,368,368,3,2.8210916519165,2.9987268447876,0.7,3,2.8210916519165,2.9987268447876,Null,1,
10,Des10,Superiority,1,2-Sided,0.01,0.801021781458084,1,991,922.866009235382,990.857291221619,368,368,368,3,2.79374170303345,2.99956798553467,0.7,3,2.79374170303345,2.99956798553467,Null,1,
11,Des11,Superiority,1,2-Sided,0.01,0.801021781458084,1,1957,1811.34657740593,1956.65659332275,368,368,368,3,2.77671933174133,2.99947357177734,0.7,3,2.77671933174133,2.99947357177734,Null,1,
12,Des12,Superiority,1,2-Sided,0.01,0.801021781458084,1,8474,7818.50461149216,8473.50703239441,368,368,368,3,2.76793885231018,2.9998254776001,0.7,3,2.76793885231018,2.9998254776001,Null,1,
13,Des13,Superiority,1,2-Sided,0.01,0.800077357432331,1,7090,6967.76141856378,7089.88167285919,4209,4209,4209,3,2.94827704593672,2.99994993209839,0.9,3,2.94827704593672,2.99994993209839,Null,1,
14,Des14,Superiority,1,2-Sided,0.01,0.800077357432331,1,10419,10200.2218265533,10418.5578331947,4209,4209,4209,3,2.9370059967041,2.99987268447876,0.9,3,2.9370059967041,2.99987268447876,Null,1,
15,Des15,Superiority,1,2-Sided,0.01,0.800077357432331,1,20270,19794.0616464615,20269.7921919823,4209,4209,4209,3,2.92956018447876,2.9999692440033,0.9,3,2.92956018447876,2.9999692440033,Null,1,
16,Des16,Superiority,1,2-Sided,0.01,0.800077357432331,1,86940,84771.1140775681,86939.5439815521,4209,4209,4209,3,2.92515921592712,2.99998426437378,0.9,3,2.92515921592712,2.99998426437378,Null,1,
17,Des17,Superiority,1,2-Sided,0.05,0.805138131652015,1,17,11.9123668670654,16.8454992771149,6,6,6,3,2.10218238830566,2.97273516654968,0.1,3,2.10218238830566,2.97273516654968,Null,1,
18,Des18,Superiority,1,2-Sided,0.05,0.805138131652015,1,26,18.3719097405174,25.5209627151489,6,6,6,3,2.11983573929047,2.94472646713257,0.1,3,2.11983573929047,2.94472646713257,Null,1,
19,Des19,Superiority,1,2-Sided,0.05,0.805138131652015,1,50,36.3942503929138,49.769926071167,6,6,6,3,2.18365502357483,2.98619556427002,0.1,3,2.18365502357483,2.98619556427002,Null,1,
20,Des20,Superiority,1,2-Sided,0.05,0.805138131652015,1,214,158.145864486694,213.89800786972,6,6,6,3,2.21699810028076,2.99857020378113,0.1,3,2.21699810028076,2.99857020378113,Null,1,
21,Des21,Superiority,1,2-Sided,0.05,0.803895005221788,1,131,115.409756183624,130.372095108032,66,66,66,3,2.64297151565552,2.98562049865723,0.5,3,2.64297151565552,2.98562049865723,Null,1,
22,Des22,Superiority,1,2-Sided,0.05,0.803895005221788,1,198,173.028812380812,197.89397345146,66,66,66,3,2.62164867243655,2.99839353714333,0.5,3,2.62164867243655,2.99839353714333,Null,1,
