Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,Expected SS (H0),Expected SS (H1),Maximum Events,Exp. Events (H0),Exp. Events (H1),Comm. Accr. (Dur.),Exp. Accrual Duration (H0),Exp. Accrual Duration (H1),Hazard Ratio (Alt.),Study Duration,Exp. Study Duration (H0),Exp. Study Duration (H1),Var (Log HR),No. of Accrual Periods,
1,Des1,Superiority,1,1-Sided,0.01,0.80235178554892,1,95,95,95,84,84,84,3,3,3,0.5,6,4.58506671421901,5.95465850830078,Null,1,
2,Des2,Superiority,1,1-Sided,0.01,0.80235178554892,1,119,119,119,84,84,84,3,3,3,0.5,6,4.69805860519409,5.98492245215672,Null,1,
3,Des3,Superiority,1,1-Sided,0.01,0.80235178554892,1,199,199,199,84,84,84,3,3,3,0.5,6,4.7842218875885,5.98290538787842,Null,1,
4,Des4,Superiority,1,1-Sided,0.01,0.80235178554892,1,758,758,758,84,84,84,3,3,3,0.5,6,4.85749125480652,5.99943065697062,Null,1,
5,Des5,Superiority,1,1-Sided,0.01,0.800622928538487,1,340,340,340,316,316,316,3,3,3,0.7,6,5.2298698425293,5.96434889499044,Null,1,
6,Des6,Superiority,1,1-Sided,0.01,0.800622928538487,1,412,412,412,316,316,316,3,3,3,0.7,6,5.27838415452152,5.99545240835369,Null,1,
7,Des7,Superiority,1,1-Sided,0.01,0.800622928538487,1,671,671,671,316,316,316,3,3,3,0.7,6,5.30266928672791,5.99796867370605,Null,1,
8,Des8,Superiority,1,1-Sided,0.01,0.800622928538487,1,2525,2525,2525,316,316,316,3,3,3,0.7,6,5.32012861239082,5.99963593482971,Null,1,
9,Des9,Superiority,1,1-Sided,0.01,0.800084147630094,1,3792,3792,3792,3617,3617,3617,3,3,3,0.9,6,5.7835476861567,5.99830056035716,Null,1,
10,Des10,Superiority,1,1-Sided,0.01,0.800084147630094,1,4469,4469,4469,3617,3617,3617,3,3,3,0.9,6,5.77837392961555,5.99820757082625,Null,1,
11,Des11,Superiority,1,1-Sided,0.01,0.800084147630094,1,7065,7065,7065,3617,3617,3617,3,3,3,0.9,6,5.77664873442245,5.99966812133789,Null,1,
12,Des12,Superiority,1,1-Sided,0.01,0.800084147630094,1,26017,26017,26017,3617,3617,3617,3,3,3,0.9,6,5.77536678314209,5.99999642372131,Null,1,
13,Des13,Superiority,1,1-Sided,0.05,0.803537273883756,1,59,59,59,52,52,52,3,3,3,0.5,6,4.55333518981934,5.90070829323395,Null,1,
14,Des14,Superiority,1,1-Sided,0.05,0.803537273883756,1,74,74,74,52,52,52,3,3,3,0.5,6,4.67126655578613,5.94367800962573,Null,1,
15,Des15,Superiority,1,1-Sided,0.05,0.803537273883756,1,123,123,123,52,52,52,3,3,3,0.5,6,4.79086705124701,5.9923496319243,Null,1,
16,Des16,Superiority,1,1-Sided,0.05,0.803537273883756,1,470,470,470,52,52,52,3,3,3,0.5,6,4.8517427444458,5.99166011810303,Null,1,
17,Des17,Superiority,1,1-Sided,0.05,0.801082358857556,1,210,210,210,195,195,195,3,3,3,0.7,6,5.21445192538522,5.9447193145752,Null,1,
18,Des18,Superiority,1,1-Sided,0.05,0.801082358857556,1,255,255,255,195,195,195,3,3,3,0.7,6,5.25407409667969,5.96553904428401,Null,1,
19,Des19,Superiority,1,1-Sided,0.05,0.801082358857556,1,414,414,414,195,195,195,3,3,3,0.7,6,5.30350751541846,5.9989743252072,Null,1,
20,Des20,Superiority,1,1-Sided,0.05,0.801082358857556,1,1559,1559,1559,195,195,195,3,3,3,0.7,6,5.31790637969971,5.99700951576233,Null,1,
21,Des21,Superiority,1,1-Sided,0.05,0.800034320253229,1,2336,2336,2336,2228,2228,2228,3,3,3,0.9,6,5.78120633963408,5.9958172121805,Null,1,
22,Des22,Superiority,1,1-Sided,0.05,0.800034320253229,1,2753,2753,2753,2228,2228,2228,3,3,3,0.9,6,5.77766031709416,5.9974536895752,Null,1,
23,Des23,Superiority,1,1-Sided,0.05,0.800034320253229,1,4352,4352,4352,2228,2228,2228,3,3,3,0.9,6,5.77650711392153,5.99952077910757,Null,1,
24,Des24,Superiority,1,1-Sided,0.05,0.800034320253229,1,16026,16026,16026,2228,2228,2228,3,3,3,0.9,6,5.77535390853882,5.99998354911804,Null,1,
25,Des25,Superiority,1,1-Sided,0.1,0.803688862553563,1,43,43,43,38,38,38,3,3,3,0.5,6,4.57956926386487,5.94530020654383,Null,1,
26,Des26,Superiority,1,1-Sided,0.1,0.803688862553563,1,54,54,54,38,38,38,3,3,3,0.5,6,4.67966920883782,5.95660976732688,Null,1,
27,Des27,Superiority,1,1-Sided,0.1,0.803688862553563,1,90,90,90,38,38,38,3,3,3,0.5,6,4.78535672630187,5.98451471328735,Null,1,
28,Des28,Superiority,1,1-Sided,0.1,0.803688862553563,1,343,343,343,38,38,38,3,3,3,0.5,6,4.85650634765625,5.99809741973877,Null,1,
29,Des29,Superiority,1,1-Sided,0.1,0.800549235391942,1,153,153,153,142,142,142,3,3,3,0.7,6,5.20596464924893,5.93391341993344,Null,1,
30,Des30,Superiority,1,1-Sided,0.1,0.800549235391942,1,186,186,186,142,142,142,3,3,3,0.7,6,5.24071313720106,5.9490982072648,Null,1,
31,Des31,Superiority,1,1-Sided,0.1,0.800549235391942,1,302,302,302,142,142,142,3,3,3,0.7,6,5.29445667795017,5.9881138914875,Null,1,
32,Des32,Superiority,1,1-Sided,0.1,0.800549235391942,1,1135,1135,1135,142,142,142,3,3,3,0.7,6,5.31887977706447,5.99816179275513,Null,1,
33,Des33,Superiority,1,1-Sided,0.1,0.800122120723314,1,1704,1704,1704,1625,1625,1625,3,3,3,0.9,6,5.77758492428984,5.99197200014169,Null,1,
34,Des34,Superiority,1,1-Sided,0.1,0.800122120723314,1,2008,2008,2008,1625,1625,1625,3,3,3,0.9,6,5.77719497680664,5.9969587354999,Null,1,
35,Des35,Superiority,1,1-Sided,0.1,0.800122120723314,1,3174,3174,3174,1625,1625,1625,3,3,3,0.9,6,5.77679035492338,5.99982261657715,Null,1,
36,Des36,Superiority,1,1-Sided,0.1,0.800122120723314,1,11689,11689,11689,1625,1625,1625,3,3,3,0.9,6,5.7752058506012,5.99982261657715,Null,1,
37,Des37,Superiority,1,1-Sided,0.01,0.901819113244034,1,123,123,123,109,109,109,3,3,3,0.5,6,4.6074041295924,5.99272443941753,Null,1,
38,Des38,Superiority,1,1-Sided,0.01,0.901819113244034,1,155,155,155,109,109,109,3,3,3,0.5,6,4.67565233644791,5.95042996365009,Null,1,
39,Des39,Superiority,1,1-Sided,0.01,0.901819113244034,1,258,258,258,109,109,109,3,3,3,0.5,6,4.7879831428645,5.98824834823608,Null,1,
40,Des40,Superiority,1,1-Sided,0.01,0.901819113244034,1,984,984,984,109,109,109,3,3,3,0.5,6,4.85603179355962,5.99746012687683,Null,1,
41,Des41,Superiority,1,1-Sided,0.01,0.900553302505014,1,441,441,441,410,410,410,3,3,3,0.7,6,5.23529793233593,5.97125832776125,Null,1,
42,Des42,Superiority,1,1-Sided,0.01,0.900553302505014,1,535,535,535,410,410,410,3,3,3,0.7,6,5.27160427893705,5.98710250854492,Null,1,
43,Des43,Superiority,1,1-Sided,0.01,0.900553302505014,1,871,871,871,410,410,410,3,3,3,0.7,6,5.30027599307914,5.99509763717651,Null,1,
44,Des44,Superiority,1,1-Sided,0.01,0.900553302505014,1,3276,3276,3276,410,410,410,3,3,3,0.7,6,5.32026243209839,5.99979114551843,Null,1,
45,Des45,Superiority,1,1-Sided,0.01,0.900038170428554,1,4918,4918,4918,4691,4691,4691,3,3,3,0.9,6,5.78334169368306,5.99808884745288,Null,1,
46,Des46,Superiority,1,1-Sided,0.01,0.900038170428554,1,5796,5796,5796,4691,4691,4691,3,3,3,0.9,6,5.77834818043357,5.9981746673584,Null,1,
47,Des47,Superiority,1,1-Sided,0.01,0.900038170428554,1,9163,9163,9163,4691,4691,4691,3,3,3,0.9,6,5.77652549743652,5.99953937530518,Null,1,
48,Des48,Superiority,1,1-Sided,0.01,0.900038170428554,1,33743,33743,33743,4691,4691,4691,3,3,3,0.9,6,5.77526378631592,5.99988698959351,Null,1,
49,Des49,Superiority,1,1-Sided,0.05,0.902498614295628,1,82,82,82,72,72,72,3,3,3,0.5,6,4.51751373527713,5.83996597292753,Null,1,
50,Des50,Superiority,1,1-Sided,0.05,0.902498614295628,1,102,102,102,72,72,72,3,3,3,0.5,6,4.69805860519409,5.98492245215672,Null,1,
51,Des51,Superiority,1,1-Sided,0.05,0.902498614295628,1,171,171,171,72,72,72,3,3,3,0.5,6,4.77347803115845,5.96764329180814,Null,1,
52,Des52,Superiority,1,1-Sided,0.05,0.902498614295628,1,650,650,650,72,72,72,3,3,3,0.5,6,4.85593342781067,5.99732494354248,Null,1,
53,Des53,Superiority,1,1-Sided,0.05,0.900696440306419,1,291,291,291,270,270,270,3,3,3,0.7,6,5.20108813816842,5.92771353201897,Null,1,
54,Des54,Superiority,1,1-Sided,0.05,0.900696440306419,1,352,352,352,270,270,270,3,3,3,0.7,6,5.27897357940674,5.99618054162602,Null,1,
