 ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80
Test Significance Level, ??;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2
1 or 2 Sided Test??;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two
Length of Accrual Period, a?;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Maximum Length of Followup, f?;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
Group 1 Exponential Parameter, ???;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172
Group 2 Exponential Parameter, ???;7,67528364;7,67528364;7,67528364;7,67528364;4,01324268;4,01324268;4,01324268;4,01324268;1,70275208;1,70275208;1,70275208;1,70275208;0,35120172;0,35120172;0,35120172;0,35120172;1,535056728;1,535056728;1,535056728;1,535056728;0,802648536;0,802648536;0,802648536;0,802648536;0,340550416;0,340550416;0,340550416;0,340550416;0,070240344;0,070240344;0,070240344;0,070240344;1,096469091;1,096469091;1,096469091;1,096469091;0,573320383;0,573320383;0,573320383;0,573320383;0,243250297;0,243250297;0,243250297;0,243250297;0,050171674;0,050171674;0,050171674;0,050171674;0,852809293;0,852809293;0,852809293;0,852809293;0,445915853;0,445915853;0,445915853;0,445915853;0,189194676;0,189194676;0,189194676;0,189194676;0,039022413;0,039022413;0,039022413;0,039022413;0,775281176;0,775281176;0,775281176;0,775281176;0,405378048;0,405378048;0,405378048;0,405378048;0,17199516;0,17199516;0,17199516;0,17199516;0,035474921;0,035474921;0,035474921;0,035474921;7,67528364;7,67528364;7,67528364;7,67528364;4,01324268;4,01324268;4,01324268;4,01324268;1,70275208;1,70275208;1,70275208;1,70275208;0,35120172;0,35120172;0,35120172;0,35120172;1,535056728;1,535056728;1,535056728;1,535056728;0,802648536;0,802648536;0,802648536;0,802648536;0,340550416;0,340550416;0,340550416;0,340550416;0,070240344;0,070240344;0,070240344;0,070240344;1,096469091;1,096469091;1,096469091;1,096469091;0,573320383;0,573320383;0,573320383;0,573320383;0,243250297;0,243250297;0,243250297;0,243250297;0,050171674;0,050171674;0,050171674;0,050171674;0,852809293;0,852809293;0,852809293;0,852809293;0,445915853;0,445915853;0,445915853;0,445915853;0,189194676;0,189194676;0,189194676;0,189194676;0,039022413;0,039022413;0,039022413;0,039022413;0,775281176;0,775281176;0,775281176;0,775281176;0,405378048;0,405378048;0,405378048;0,405378048;0,17199516;0,17199516;0,17199516;0,17199516;0,035474921;0,035474921;0,035474921;0,035474921;7,67528364;7,67528364;7,67528364;7,67528364;4,01324268;4,01324268;4,01324268;4,01324268;1,70275208;1,70275208;1,70275208;1,70275208;0,35120172;0,35120172;0,35120172;0,35120172;1,535056728;1,535056728;1,535056728;1,535056728;0,802648536;0,802648536;0,802648536;0,802648536;0,340550416;0,340550416;0,340550416;0,340550416;0,070240344;0,070240344;0,070240344;0,070240344;1,096469091;1,096469091;1,096469091;1,096469091;0,573320383;0,573320383;0,573320383;0,573320383;0,243250297;0,243250297;0,243250297;0,243250297;0,050171674;0,050171674;0,050171674;0,050171674;0,852809293;0,852809293;0,852809293;0,852809293;0,445915853;0,445915853;0,445915853;0,445915853;0,189194676;0,189194676;0,189194676;0,189194676;0,039022413;0,039022413;0,039022413;0,039022413;0,775281176;0,775281176;0,775281176;0,775281176;0,405378048;0,405378048;0,405378048;0,405378048;0,17199516;0,17199516;0,17199516;0,17199516;0,035474921;0,035474921;0,035474921;0,035474921;7,67528364;7,67528364;7,67528364;7,67528364;4,01324268;4,01324268;4,01324268;4,01324268;1,70275208;1,70275208;1,70275208;1,70275208;0,35120172;0,35120172;0,35120172;0,35120172;1,535056728;1,535056728;1,535056728;1,535056728;0,802648536;0,802648536;0,802648536;0,802648536;0,340550416;0,340550416;0,340550416;0,340550416;0,070240344;0,070240344;0,070240344;0,070240344;1,096469091;1,096469091;1,096469091;1,096469091;0,573320383;0,573320383;0,573320383;0,573320383;0,243250297;0,243250297;0,243250297;0,243250297;0,050171674;0,050171674;0,050171674;0,050171674;0,852809293;0,852809293;0,852809293;0,852809293;0,445915853;0,445915853;0,445915853;0,445915853;0,189194676;0,189194676;0,189194676;0,189194676;0,039022413;0,039022413;0,039022413;0,039022413;0,775281176;0,775281176;0,775281176;0,775281176;0,405378048;0,405378048;0,405378048;0,405378048;0,17199516;0,17199516;0,17199516;0,17199516;0,035474921;0,035474921;0,035474921;0,035474921
Hazard Ratio, h=??/???;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99
Power (%)?;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
Sample Size per Group, n?;3;2;2;2;3;2;2;2;4;3;2;2;11;7;5;3;29;17;12;8;32;19;14;8;45;27;19;12;149;87;62;38;110;64;45;28;123;72;51;31;182;106;75;46;629;367;260;159;1262;735;520;319;1451;845;598;367;2224;1296;917;562;7976;4646;3288;2013;139305;81144;57427;35158;161952;94336;66763;40874;251805;146674;103803;63551;914501;532688;376991;230801;5;4;3;2;5;4;3;2;7;5;4;3;18;13;10;7;50;34;27;20;55;37;29;22;78;52;41;30;257;173;136;100;189;127;100;73;212;143;113;82;313;211;166;121;1086;730;575;420;2178;1464;1153;841;2505;1684;1326;967;3839;2580;2033;1482;13769;9254;7289;5315;240504;161632;127317;92830;279604;187909;148016;107922;434733;292163;230137;167799;1578854;1061073;835806;609408;6;5;4;3;7;5;4;3;9;6;5;4;23;17;14;11;64;45;37;28;70;50;41;31;99;70;57;44;328;232;189;145;240;170;139;106;270;191;156;120;399;282;230;176;1384;977;797;611;2774;1959;1597;1225;3191;2254;1837;1409;4891;3454;2815;2160;17542;12388;10097;7745;306410;216379;176355;135285;356224;251556;205025;157279;553863;391124;318777;244540;2011511;1420475;1157728;888116;10;8;7;6;11;8;7;6;14;11;9;8;37;29;25;20;103;79;68;56;113;86;74;61;159;122;105;87;529;405;347;287;388;297;255;210;436;333;286;236;644;492;423;349;2234;1708;1466;1211;4480;3425;2940;2427;5154;3940;3382;2792;7899;6039;5184;4279;28332;21660;18593;15347;494875;378343;324759;268057;575329;439851;377557;311636;894531;683888;587032;484537;3248743;2483733;2131971;1759731
