alpha;power;hr;surv_3y;e;n
0,01;0,51;0,10;0,1;4,17145766958624e+00;5,16700033728577e+01
0,05;0,51;0,10;0,1;2,10388145188342e+00;2,60598501352385e+01
0,10;0,51;0,10;0,1;1,28803460721952e+00;1,59543156783349e+01
0,20;0,51;0,10;0,1;5,66704064315069e-01;7,01951289786819e+00
0,49;0,51;0,10;0,1;NA;NA
0,01;0,80;0,10;0,1;7,57164929062700e+00;9,37866749163483e+01
0,05;0,80;0,10;0,1;4,66441044561070e+00;5,77759916429892e+01
0,10;0,80;0,10;0,1;3,40094256130905e+00;4,21259731088591e+01
0,20;0,80;0,10;0,1;2,13757801011195e+00;2,64772345162467e+01
0,49;0,80;0,10;0,1;5,66704064315069e-01;7,01951289786819e+00
0,01;0,90;0,10;0,1;9,82058734054880e+00;1,21643277051384e+02
0,05;0,90;0,10;0,1;6,46096712703161e+00;8,00291456100905e+01
0,10;0,90;0,10;0,1;4,95633640911782e+00;6,13919495919365e+01
0,20;0,90;0,10;0,1;3,40094256130905e+00;4,21259731088591e+01
0,49;0,90;0,10;0,1;1,28803460721952e+00;1,59543156783349e+01
0,01;0,99;0,10;0,1;1,63319454830218e+01;2,02296593909046e+02
0,05;0,99;0,10;0,1;1,18979588312463e+01;1,47374760008435e+02
0,10;0,99;0,10;0,1;9,82058734054880e+00;1,21643277051384e+02
0,20;0,99;0,10;0,1;7,57164929062700e+00;9,37866749163483e+01
0,49;0,99;0,10;0,1;4,17145766958624e+00;5,16700033728577e+01
0,01;0,51;0,50;0,1;4,60328958204544e+01;4,15342918490179e+02
0,05;0,51;0,50;0,1;2,32167657841154e+01;2,09478875634686e+02
0,10;0,51;0,50;0,1;1,42137275704771e+01;1,28246789312852e+02
0,20;0,51;0,50;0,1;6,25369624240516e+00;5,64254844796766e+01
0,49;0,51;0,50;0,1;NA;NA
0,01;0,80;0,50;0,1;8,35547117080111e+01;7,53892563043804e+02
0,05;0,80;0,50;0,1;5,14727313840714e+01;4,64425148465712e+02
0,10;0,80;0,50;0,1;3,75301026683120e+01;3,38624414034069e+02
0,20;0,80;0,50;0,1;2,35886142546755e+01;2,12833968253689e+02
0,49;0,80;0,50;0,1;6,25369624240516e+00;5,64254844796767e+01
0,01;0,90;0,50;0,1;1,08372206971957e+02;9,77814406951856e+02
0,05;0,90;0,50;0,1;7,12981049349896e+01;6,43304368728398e+02
0,10;0,90;0,50;0,1;5,46941946062409e+01;4,93491578301528e+02
0,20;0,90;0,50;0,1;3,75301026683120e+01;3,38624414034069e+02
0,49;0,90;0,50;0,1;1,42137275704771e+01;1,28246789312852e+02
0,01;0,99;0,50;0,1;1,80226387156376e+02;1,62613609889840e+03
0,05;0,99;0,50;0,1;1,31296429866239e+02;1,18465374372023e+03
0,10;0,99;0,50;0,1;1,08372206971957e+02;9,77814406951856e+02
0,20;0,99;0,50;0,1;8,35547117080111e+01;7,53892563043804e+02
0,49;0,99;0,50;0,1;4,60328958204544e+01;4,15342918490179e+02
0,01;0,51;0,70;0,1;1,73849727775421e+02;1,38904265898266e+03
0,05;0,51;0,70;0,1;8,76813926096891e+01;7,00565921456015e+02
0,10;0,51;0,70;0,1;5,36801481801075e+01;4,28899237961428e+02
0,20;0,51;0,70;0,1;2,36179664553978e+01;1,88705287864173e+02
0,49;0,51;0,70;0,1;NA;NA
0,01;0,80;0,70;0,1;3,15556160999478e+02;2,52126347588705e+03
0,05;0,80;0,70;0,1;1,94394034515682e+02;1,55318970037643e+03
0,10;0,80;0,70;0,1;1,41737729421109e+02;1,13247087051865e+03
0,20;0,80;0,70;0,1;8,90857308384359e+01;7,11786449278119e+02
0,49;0,80;0,70;0,1;2,36179664553978e+01;1,88705287864173e+02
0,01;0,90;0,70;0,1;4,09282934403720e+02;3,27013141035672e+03
0,05;0,90;0,70;0,1;2,69267355723114e+02;2,15142035916230e+03
0,10;0,90;0,70;0,1;2,06560345025390e+02;1,65039735503692e+03
0,20;0,90;0,70;0,1;1,41737729421109e+02;1,13247087051865e+03
0,49;0,90;0,70;0,1;5,36801481801075e+01;4,28899237961428e+02
0,01;0,99;0,70;0,1;6,80650386786254e+02;5,43833134050397e+03
0,05;0,99;0,70;0,1;4,95859497502824e+02;3,96186984993662e+03
0,10;0,99;0,70;0,1;4,09282934403720e+02;3,27013141035672e+03
0,20;0,99;0,70;0,1;3,15556160999478e+02;2,52126347588705e+03
0,49;0,99;0,70;0,1;1,73849727775421e+02;1,38904265898266e+03
0,01;0,51;0,90;0,1;1,99233994937526e+03;1,43308486614124e+04
0,05;0,51;0,90;0,1;1,00483988987780e+03;7,22778680179783e+03
0,10;0,51;0,90;0,1;6,15181312482517e+02;4,42498294092855e+03
0,20;0,51;0,90;0,1;2,70664893722925e+02;1,94688543544830e+03
0,49;0,51;0,90;0,1;9,05805700913422e-01;6,51543649491406e+00
0,01;0,80;0,90;0,1;3,61631366281401e+03;2,60120487119862e+04
0,05;0,80;0,90;0,1;2,22778031258201e+03;1,60243649787266e+04
0,10;0,80;0,90;0,1;1,62433237182980e+03;1,16837798709127e+04
0,20;0,80;0,90;0,1;1,02093378425066e+03;7,34354975916987e+03
0,49;0,80;0,90;0,1;2,70664893722925e+02;1,94688543544830e+03
0,01;0,90;0,90;0,1;4,69043438401834e+03;3,37381707046177e+04
0,05;0,90;0,90;0,1;3,08583807829031e+03;2,21963518361758e+04
0,10;0,90;0,90;0,1;2,36720777545563e+03;1,70272630385246e+04
0,20;0,90;0,90;0,1;1,62433237182980e+03;1,16837798709127e+04
0,49;0,90;0,90;0,1;6,15181312482517e+02;4,42498294092855e+03
0,01;0,99;0,90;0,1;7,80033983661894e+03;5,61076385288689e+04
0,05;0,99;0,90;0,1;5,68261278745408e+03;4,08748837686798e+04
0,10;0,99;0,90;0,1;4,69043438401834e+03;3,37381707046177e+04
0,20;0,99;0,90;0,1;3,61631366281401e+03;2,60120487119862e+04
0,49;0,99;0,90;0,1;1,99233994937526e+03;1,43308486614124e+04
0,01;0,51;0,99;0,1;2,18956614053887e+05;1,50881295787333e+06
0,05;0,51;0,99;0,1;1,10431123977068e+05;7,60972266259606e+05
0,10;0,51;0,99;0,1;6,76079487602681e+04;4,65881104279518e+05
0,20;0,51;0,99;0,1;2,97458617398150e+04;2,04976414300488e+05
0,49;0,51;0,99;0,1;9,95473434766498e+01;6,85972983316558e+02
0,01;0,80;0,99;0,1;3,97430064690945e+05;2,73865959265591e+06
0,05;0,80;0,99;0,1;2,44831327229985e+05;1,68711358921094e+06
0,10;0,80;0,99;0,1;1,78512866915858e+05;1,23011824928694e+06
0,20;0,80;0,99;0,1;1,12199830477143e+05;7,73160284865578e+05
0,49;0,80;0,99;0,1;2,97458617398151e+04;2,04976414300488e+05
0,01;0,90;0,99;0,1;5,15475098257514e+05;3,55209871632631e+06
0,05;0,90;0,99;0,1;3,39131209687818e+05;2,33692672773205e+06
0,10;0,90;0,99;0,1;2,60154297181224e+05;1,79270298058619e+06
0,20;0,90;0,99;0,1;1,78512866915858e+05;1,23011824928694e+06
0,49;0,90;0,99;0,1;6,76079487602681e+04;4,65881104279518e+05
0,01;0,99;0,99;0,1;8,57251293701804e+05;5,90725183470657e+06
0,05;0,99;0,99;0,1;6,24514734701987e+05;4,30348235047737e+06
0,10;0,99;0,99;0,1;5,15475098257514e+05;3,55209871632631e+06
0,20;0,99;0,99;0,1;3,97430064690945e+05;2,73865959265591e+06
0,49;0,99;0,99;0,1;2,18956614053887e+05;1,50881295787333e+06
0,01;0,51;0,10;0,3;4,17145766958624e+00;1,80086135321910e+01
0,05;0,51;0,10;0,3;2,10388145188342e+00;9,08267348863480e+00
0,10;0,51;0,10;0,3;1,28803460721952e+00;5,56057841042517e+00
0,20;0,51;0,10;0,3;5,66704064315069e-01;2,44651996729581e+00
0,49;0,51;0,10;0,3;NA;NA
0,01;0,80;0,10;0,3;7,57164929062700e+00;3,26875918867263e+01
0,05;0,80;0,10;0,3;4,66441044561070e+00;2,01367415718855e+01
0,10;0,80;0,10;0,3;3,40094256130905e+00;1,46822202412207e+01
0,20;0,80;0,10;0,3;2,13757801011195e+00;9,22814501023909e+00
0,49;0,80;0,10;0,3;5,66704064315069e-01;2,44651996729581e+00
0,01;0,90;0,10;0,3;9,82058734054880e+00;4,23964896886063e+01
0,05;0,90;0,10;0,3;6,46096712703161e+00;2,78926622900247e+01
0,10;0,90;0,10;0,3;4,95633640911782e+00;2,13970161025710e+01
0,20;0,90;0,10;0,3;3,40094256130905e+00;1,46822202412207e+01
0,49;0,90;0,10;0,3;1,28803460721952e+00;5,56057841042517e+00
0,01;0,99;0,10;0,3;1,63319454830218e+01;7,05066951960043e+01
0,05;0,99;0,10;0,3;1,18979588312463e+01;5,13647169372057e+01
0,10;0,99;0,10;0,3;9,82058734054880e+00;4,23964896886063e+01
0,20;0,99;0,10;0,3;7,57164929062700e+00;3,26875918867263e+01
0,49;0,99;0,10;0,3;4,17145766958624e+00;1,80086135321910e+01
0,01;0,51;0,50;0,3;4,60328958204544e+01;1,42753487170120e+02
0,05;0,51;0,50;0,3;2,32167657841154e+01;7,19979531468391e+01
0,10;0,51;0,50;0,3;1,42137275704771e+01;4,40784604185185e+01
0,20;0,51;0,50;0,3;6,25369624240516e+00;1,93934561446671e+01
0,49;0,51;0,50;0,3;NA;NA
0,01;0,80;0,50;0,3;8,35547117080111e+01;2,59113102776224e+02
